id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Детство и юность,"Жизнь в интернате, отношения с семьёй и сверстниками","Респондентка родилась в Ивановской области, с третьего по десятый класс жила в интернате, поддерживала тёплые отношения с родителями и до сих пор их любит. В интернате сложились крепкие дружеские связи, которые сохраняются до сих пор. Воспоминания о детстве наполнены позитивом, чувством защищённости и коллективизма.","Мы были одна семья, мы до сих пор одна семья. Когда мы встречаемся, у нас каждый год, кстати, проходят встречи, вот мы встречаемся все интернатские, мы едем на Волгу, мы делаем звук, мы поем песни около костра, то есть мы одна семья.","Тёплый, ностальгический, благодарный","Дружба, коллективизм, семейные узы, поддержка, защищённость","Опыт жизни в интернате сформировал у респондентки сильную потребность в коллективной поддержке и чувство принадлежности к группе. Несмотря на разлуку с родителями, эмоциональная связь с ними не ослабла. Социальные связи, установленные в детстве, сохраняются на протяжении всей жизни.",эпизод,школа-интернат,0.0,False,
2,"Переход к самостоятельности, ранняя взрослость","Образование, переезд, начало трудовой деятельности","После окончания школы респондентка поступила в экономический техникум, стремилась к самостоятельности и финансовой независимости. По распределению переехала в Нижний Новгород, где начала трудовую деятельность и построила карьеру в одной организации, дойдя до должности главного бухгалтера.","Хотелось быть самостоятельной, зарабатывать деньги. Поступила легко, отучилась. Два с половиной года по распределению приехала в город, ныне Нижний Новгород.","Уверенность, целеустремлённость","Самостоятельность, трудолюбие, профессионализм, стабильность","Поколенческий опыт распределения после учёбы и построения карьеры в одной организации типичен для советского и постсоветского времени. Стремление к самостоятельности и финансовой независимости отражает ценности поколения, выросшего в условиях ограниченного выбора.",эпизод,"экономический техникум, распределение, трансагентство",0.0,True,
3,"Семейная жизнь, материнство","Создание семьи, рождение дочери, первые трудности","Вышла замуж, родила дочь. Первое время жила с родителями мужа, затем приняла решение жить отдельно, сняли квартиру. Испытывала трудности с жильём и детским садом, три года не работала, полностью посвятив себя ребёнку. Ожидание получения собственной квартиры.","Я вечером пошла гулять и приняла решение, что я не могу с ними жить... И мы с мужем ушли на эту квартиру. И жили, сейчас скажу сколько, пять с половиной лет мы жили на квартире. Мы снимали квартиру, мы ушли от родителей, мы самостоятельно жили.","Решимость, тревога, ответственность","Семейная самостоятельность, забота о ребёнке, независимость",Переход к самостоятельной жизни после брака и рождение ребёнка сопровождаются типичными для эпохи трудностями с жильём и детскими учреждениями. Ожидание получения квартиры по очереди — характерная черта советской и постсоветской действительности.,перелом,,1.0,False,
4,Профессиональная реализация и перемены,"Карьера, профессиональный рост, кризисы 90-х","Работала в одной организации с 1983 по 2003 год, прошла путь от кассира до главного бухгалтера. После банкротства предприятия перешла в другую организацию. Испытывала трудности и конфликты на работе, особенно в 90-е годы.","Пришла туда кассиром, ушла главным бухгалтером в этой организации... Благополучно трансагентство обанкротилось, и я перешла работать в другую организацию.","Гордость, стресс, адаптация","Профессионализм, устойчивость, адаптивность","Долгая работа на одном месте и последующий вынужденный переход — типичный опыт для людей, чья трудовая биография пришлась на переломные 90-е годы. Испытания, связанные с экономическими кризисами, усилили ценность стабильности и профессионализма.",узел,"трансагентство, бухгалтерия",,True,
5,"Зрелость, современный этап жизни","Пенсия, работа на удалёнке, семейные и личные интересы","На пенсии продолжает работать бухгалтером на удалёнке в продуктовом магазине. Много времени посвящает внучке, поддерживает отношения с дочерью, мужем, родственниками. Активно путешествует по России, занимается досугом, любит природу, животных, театр.","Основную часть, конечно, большую часть своего времени и работы я посвящаю ей (внучке). Для меня важно сейчас видеть, как она растет.","Удовлетворение, радость, забота","Семья, забота о близких, активная жизнь, любовь к природе","Современный этап жизни респондентки характеризуется гармоничным сочетанием работы, семейных обязанностей и личных интересов. Пенсионный возраст не стал концом профессиональной деятельности, а семейные связи и досуг приобрели особую ценность.",эпизод,"пенсия, удалённая работа, продуктовый магазин",,True,
6,Детство и юность,"Внеклассная жизнь, досуг, первые чувства","В интернате активно участвовала в спортивных и творческих мероприятиях, играла в волейбол, лыжи, участвовала в 'Зорнице', вечерах у костра. Первые романтические чувства возникли в младших классах, но отношения были платоническими и дружескими.","Мы ходили за ручку, но у нас не было таких отношений, как у нас сейчас молодёжь. То есть мы ходили за ручку, мы гуляли, мы ходили на реку, мы плавали на льдине.","Радость, лёгкая ностальгия","Дружба, романтика, активность, коллективизм","Воспоминания о детских и подростковых годах наполнены коллективными играми, совместным досугом и первыми романтическими переживаниями. Это формирует у респондента позитивное отношение к коллективной деятельности и межличностным отношениям.",эпизод,"школа-интернат, кружки, спортивные секции",,False,
7,Молодость,"Первые взрослые отношения, выбор жизненного пути","Первые серьёзные отношения возникли в техникуме, но респондентка выбрала самостоятельность и осталась в Нижнем Новгороде, отказавшись от предложения выйти замуж и переехать в другой город. Позже встретила будущего мужа, с которым сложилась крепкая семья.","Я познакомилась с молодым человеком, который предложил мне сразу выйти замуж, но я не смогла. Мне хотелось ещё побыть в Нижнем Новгороде...","Осознанность, самостоятельность","Самостоятельность, свобода выбора, любовь","Выбор остаться в большом городе и строить свою жизнь самостоятельно, а не следовать за партнёром, отражает тенденцию к индивидуализации и самостоятельности среди женщин поколения респондентки.",перелом,техникум,,False,
8,"Семейная жизнь, зрелость","Роль семьи, забота о родителях и родственниках","Поддерживает тесные отношения с сёстрами и братом, регулярно собираются у матери, особенно на праздники. Активно заботится о пожилой матери, организует медицинскую помощь, координирует уход вместе с родственниками.","Много времени уделяю своей маме, потому что мама достойный возраст, 80 лет. И как бы не было печально, я понимаю, что её уход неизбежен, поэтому мы стараемся все четверо детей поддерживать её здоровье.","Забота, тревога, благодарность","Семейная сплочённость, уважение к старшим, ответственность","Забота о пожилых родителях и поддержка между взрослыми детьми — важная часть семейной культуры, особенно в российских регионах. Это усиливает межпоколенческие связи и формирует чувство долга и ответственности.",эпизод,"семья, медицинские учреждения",,False,
9,Зрелость,"Досуг, путешествия, любовь к природе и животным","Активно путешествует по России, особенно по Золотому кольцу и Нижегородской области, любит природу, рыбалку, прогулки, театр. Держит домашних животных, занимается садоводством ради семьи, хотя не считает это своим призванием.","Люблю Нижний Новгород. У нас он красивый, сейчас ухоженный, чистый, прекрасный, исторический. Люблю ходить пешком. Люблю наш район Соросовский, потому что там сейчас очень ухоженные парки.","Вдохновение, радость, умиротворение","Активный образ жизни, любовь к природе, семейные традиции","Досуг и путешествия становятся важной частью жизни в зрелом возрасте, особенно после выхода на пенсию. Привязанность к родному городу и региону, а также любовь к природе и животным — характерные черты для респондентов с устойчивыми семейными и локальными связями.",декларация,"местные сообщества, культурные учреждения",,True,
10,"Семейная жизнь, кризисы",Экстремальные и трудные жизненные ситуации,"Вспоминает трудности 90-х: потеря карточек на продукты, финансовые сложности, отсутствие работы из-за невозможности устроить ребёнка в детский сад, муж постоянно на подработках. Испытывала чувство ущемлённости и усталости, но справлялась с поддержкой семьи.","Экстремальные ситуации были и с мужем. Постоянно на работе его антенщик в городе, его подработки в семье. Три года я не работала, сидела с ребёнком, садика не было. И, конечно, как бы себя немножко чувствовала в ущемлённом плане, хотелось работать.","Стресс, усталость, благодарность за поддержку","Выносливость, поддержка семьи, адаптация","Экономические потрясения 90-х годов, нехватка детских учреждений и нестабильность доходов — типичные проблемы для семей того времени. Семейная поддержка и взаимопомощь помогали справляться с трудностями.",эпизод,"семья, социальные службы",,False,
1,"Зрелость, семейная жизнь и работа",Ведение подсобного хозяйства и поддержка семьи в трудные времена,"В период экономических трудностей семья респондентки активно занималась подсобным хозяйством: выращивали животных, помогали свекрови, строили дачу. Это позволяло обеспечивать себя продуктами и поддерживать друг друга.","У нас там было целое хозяйство подсобное. То есть она этим занималась, мы этим помогали. У нас было 100 кроликов, они голодали.","Сдержанная гордость, ностальгия, легкая грусть","Семейная взаимопомощь, трудолюбие, самостоятельность","Подсобное хозяйство как стратегия выживания в условиях экономической нестабильности, характерная для постсоветского пространства. Важна роль старших женщин в семье и коллективная поддержка.",эпизод,"семья, рынок, бухгалтерия",0.0,"покупка животных на рынке, выращивание продуктов",
2,"Зрелость, профессиональная деятельность","Работа в трансагентстве, приватизация и банкротство предприятия","Респондентка прошла путь от билетного кассира до заместителя главного бухгалтера и главного экономиста крупного предприятия. Пережила период приватизации, банкротства и распада системы, что стало для нее тяжелым личным ударом.","Вот тогда было обидно. И печально, что это такое предприятие не смогло устоять на ногах. Сейчас вообще трансагентства в городе как такового нет.","Грусть, разочарование, сожаление","Профессионализм, преданность делу, коллективизм","История типична для поколения, столкнувшегося с распадом советских предприятий в 1990-е и начале 2000-х. Потеря работы воспринимается как личная трагедия и утрата смысла.",перелом,"трансагентство, биржа труда",,"аренда помещений, поиск новых источников дохода",
