id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Взрослая жизнь (настоящее время),"Текущее положение, семья и дети","Респонденту 35 лет, он определяет себя как русского, несмотря на рождение в Казахстане и белорусские корни. Сейчас живет в Балашихе с супругой и маленьким сыном, ждет завершения строительства жилья в Москве. От предыдущего брака у него трое детей.","Хоть и родился я в Казахстане, но если так посмотреть на семью, у меня с Белоруссии, с Москвы мать по сути русская.","спокойствие, уверенность","семья, стабильность, забота о детях","Респондент демонстрирует типичную для постсоветского пространства мобильность и смешение идентичностей, а также ценит семейные связи и заботу о детях, несмотря на развод и новую семью.",декларация,"семья, рынок недвижимости",1.0,1.0,
2,Раннее детство (0-3 года),Рождение и первые воспоминания,"Родился в Казахстане, где его мать оказалась, навестив родителей после войны. Первые воспоминания связаны с пребыванием в Казахстане, где он жил до трех лет.","Ну, так если прям посмотреть с самого-самого начала, вот я помню, правда не помню, сколько мне тогда лет было. Но это еще в Казахстане было, значит, это до трех.","ностальгия, легкая растерянность","семейная история, память о предках","История семьи респондента отражает типичные миграционные процессы советского и постсоветского времени, а также важность семейных корней.",эпизод,семья,,,True
3,Дошкольный возраст (3-4 года),Переезд из Казахстана в Крым,"После первых лет жизни в Казахстане семья переезжает в Керчь (Крым), где родители покупают дом и пытаются наладить жизнь после окончания учебы.","То есть затем мы перебрались в Крым. Вот единственное, что я не помню, сразу из Казахстана или мы все-таки заезжали как-то то ли в Москву, то ли куда, не могу сказать. Но перебрались в Крым, город Керчь.","спокойствие, интерес","поиск лучшей жизни, адаптация",Переезд в поисках лучших условий жизни типичен для семей в условиях экономической нестабильности после распада СССР.,эпизод,"семья, рынок труда",,,True
4,Раннее школьное детство (4-9 лет),Жизнь в Минске у бабушки и дедушки,"После экономических трудностей родители уезжают на заработки в Москву, а респондент оказывается у бабушки и дедушки в Минске. Здесь он ходит в садик, затем в гимназию, проводит много времени в художественной студии, играет во дворе, знакомится с компьютером.","Они, получается, поехали в Москву на заработки, а я поехал к родителям отца в Минск.","тепло, благодарность, легкая грусть","семейная поддержка, образование, творчество","Опыт раздельного проживания с родителями и воспитание бабушкой и дедушкой характерен для семей, где взрослые вынуждены мигрировать ради заработка. Важную роль играют расширенные семейные связи.",узел,"семья, образование",,,True
5,Раннее школьное детство (4-9 лет),Взаимоотношения с родственниками и социализация,"В Минске респондент чувствует себя комфортно, отношения с бабушкой, дедушкой и дядей хорошие, получает поддержку и развитие. Родители, находясь в Москве, стараются обеспечить ему дополнительные занятия (карате, английский).",Чувствовал себя отлично.,"удовлетворение, благодарность","поддержка, развитие, забота","Семья компенсирует отсутствие родителей активным участием других родственников и вложением в развитие ребенка, что типично для семей с вынужденной трудовой миграцией.",эпизод,"семья, образование",,,True
6,Раннее школьное детство (4-9 лет),Социализация со сверстниками и школьная жизнь,"Респондент активно общается со сверстниками, играет во дворе, имеет друзей, не испытывает изоляции. В школе чувствует себя комфортно, особенно успешен в английском языке.","Такого, чтобы я был без общения, я не помню. Чтобы там сидел навал. Никогда.","радость, уверенность","дружба, общительность, успех в учебе",Позитивный опыт социализации и отсутствие изоляции в детстве способствуют формированию уверенности и коммуникативных навыков.,эпизод,"образование, двор как социальный институт",,,True
7,Раннее школьное детство (4-9 лет),Воспоминания о школе и дисциплине,"В школе респондент не сталкивался с негативом, был успешен в английском, единственный эпизод нарушения дисциплины — прогулял школу, за что получил мягкое наказание от бабушки.","Единственный момент, который я помню, один раз в жизни, ну не один раз в жизни, а живя там, один раз решил прогулять школу...","легкая ирония, спокойствие","честность, самостоятельность, мягкая дисциплина",Мягкие методы воспитания и поддержка со стороны семьи формируют у респондента позитивное отношение к учебе и авторитету взрослых.,эпизод,"семья, школа",,,True
1,Детство в Беларуси,Школьные воспоминания и языковая среда,"Респондент вспоминает начальную школу в Беларуси, где преподавание велось на русском, белорусском и английском языках. В памяти остались детали школьной территории и памятник-самолёт.","Я помню точно, что там был и русский, и белорусский, и английский. Это я прям точно помню. Была гимназия, но с каким уклоном не могу.","ностальгия, лёгкая неуверенность","образование, память о детстве","Воспоминания о многоязычной среде и символах (самолёт) указывают на важность школьного опыта и культурного капитала, формируемого в раннем возрасте.",эпизод,гимназия (Беларусь),,,
2,Переезд из Беларуси в Россию,Связь с родиной и семейные поездки,"После переезда в Россию семья продолжала ездить в Беларусь на каникулы и праздники, но после пятого класса такие поездки прекратились.","На каникулы ездили точно, на Новый год ездили, то есть там встречали. Либо было так, что встречали в Москве, потом ехали туда...","спокойствие, лёгкая грусть","семейные связи, традиции","Семья поддерживала связь с родиной, что типично для мигрантов первого поколения. Постепенное прекращение поездок отражает процесс интеграции в новое место.",узел,,,0.0,
3,Переезд в Москву (Щербинка),Адаптация к новому месту и временное выпадение из учебного процесса,"Семья снимает квартиру в Щербинке, респондент полгода не учится в школе, проводит время с братом и дедушкой, родители работают.","На тот период я, кстати, не учился, ничего. Но это где-то полгода было, наверное, не больше.","отстранённость, скука","семья, поддержка старших","Временное выпадение из образовательного процесса — типичная проблема мигрантов, связанная с бюрократическими и адаптационными трудностями.",эпизод,нет (выпадение из школы),0.0,,
4,Переезд на Каховскую,Смена жилья и возвращение к учёбе,"Семья переезжает ближе к родственникам, снимает квартиру на Каховской, респондент идёт в четвёртый класс, появляются новые бытовые привычки и развлечения.","Переехали, получается, туда, и там я уже, да, пошёл в школу.","нейтральность, лёгкая радость","семейная поддержка, адаптация",Смена жилья по рекомендации родственников и возвращение к учёбе иллюстрируют важность семейных и социальных сетей для адаптации мигрантов.,эпизод,"школа (Москва, Каховская)",0.0,,
5,Переезд в собственную квартиру (Братиславская),Получение собственного жилья и обустройство быта,"Семья переезжает в новую, только что построенную квартиру, где сначала нет ремонта и мебели. Отец самостоятельно делает ремонт и мебель.","Переехали мы туда в ночь... Квартира, я так понимаю, была вообще без ремонта, потому что там, я помню, вообще голый стен бетон, короче.","восторг, удивление, гордость","самостоятельность, трудолюбие, семейное единство",Переезд в собственное жильё — важный этап интеграции и символ социальной мобильности. Самостоятельный ремонт отражает ценности трудолюбия и экономии.,перелом,новостройка (Братиславская),1.0,1.0,
6,Школьные годы в Москве (Братиславская),Адаптация к новой школе и формирование дружбы,"Респондент идёт в новую школу, сначала далеко, потом переводится в только что открытую рядом с домом. Завязывает крепкую дружбу с Артёмом.","В школе я, получается, познакомился прямо в первый же день школы. С парнем его Артем звали. Мы с ним даже в школу шли вместе...","радость, воодушевление","дружба, адаптация, новизна",Появление новой школы и формирование дружбы иллюстрируют процессы социальной интеграции детей мигрантов в городскую среду.,эпизод,"школа №1965 (Москва, Братиславская)",,,
7,Семейная поддержка и роль дедушки,Роль старшего поколения в адаптации,"Дедушка приезжает из Казахстана, помогает с бытом и школой, остаётся с семьёй до девятого класса.",Я его помню прям с класса до девятого. он с нами был.,"благодарность, тепло","семейная поддержка, уважение к старшим",Роль старшего поколения в мигрантских семьях часто оказывается ключевой для адаптации детей и поддержания семейного уклада.,узел,семья,,,
