id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,housing_promised,market_participation
1,раннее детство,Место рождения и ранние годы,"Респондент родился в Воркуте и провёл там детство до 7 лет, отмечая суровые климатические условия и их влияние на характер.","Родился я в самом прекраснейшем месте нашей страны. Город Воркута. Детство и юность у меня прошло... до 7 лет я там жил, в морозах, заварах при минус 40 и выше.","ностальгия, гордость, закалённость","стойкость, адаптация, выносливость",Опыт жизни в суровых климатических условиях северных городов формирует у респондента чувство закалённости и особой гордости за происхождение.,эпизод,"семья, школа",1.0,,
2,детство и подростковый возраст,Переезд и семейная ситуация,"В 7 лет семья переехала из Воркуты в Нижегородскую область из-за потери работы у дедушки. Семья не была богатой, воспитанием занимались мать, дедушка, бабушка и тренер.","На тот момент дедушка работал у меня на шахте в Воркуте, одна обвалилась... Было принято переехать в Ежикаровскую область, в город Двор, потому что здесь жила родная сестра моей бабушки.","спокойствие, благодарность, адаптация","семейная поддержка, взаимопомощь, адаптивность","Переезд обусловлен экономическими причинами, типичная ситуация для семей из северных регионов. Воспитание в расширенной семье и роль тренера как значимого взрослого.",узел,"семья, трудовая миграция",1.0,False,
3,детство и подростковый возраст,Спорт и травма,"Респондент активно занимался спортом, достиг уровня кандидата в мастера спорта по греко-римской борьбе, выступал за юношескую сборную России по футболу. В 14 лет получил тяжёлую травму головы, что изменило его спортивную карьеру.","У меня был тройной перелом черепа... Что повлияло на жизнь в плане постоянных головных болей, постоянных мигрений. И на этом спорту пришлось завязать.","сожаление, стойкость, принятие","упорство, здоровье, преодоление трудностей","Спорт выступает как важный канал социализации и формирования идентичности. Травма становится переломным моментом, влияющим на дальнейший жизненный путь.",перелом,"спортивная школа, медицинское учреждение",1.0,,
4,подростковый возраст,Семейные отношения и утрата отца,"Отец респондента погиб от передозировки наркотиками, когда респонденту было 10 лет. Воспитанием занимались дедушка, бабушка, мать и тренер. С матерью близкие доверительные отношения.",Отца у меня нет. Погиб он в 2013 году... Отца мне заменил дедушка. И заменил мой тренер.,"спокойствие, принятие, благодарность","семья, доверие, моральная поддержка",Семейная утрата и отсутствие отца компенсируются поддержкой других взрослых. Важна роль тренера как фигуры замещения отца.,узел,"семья, неформальные институты (тренер)",1.0,,
5,детство и подростковый возраст,Влияние окружения и социализация,"Воспитание происходило под влиянием старших на районе, тренера, одноклассников. Испытал нападение собаки в детстве, что повлияло на отношение к животным.","Когда тренер тогда провожал меня до дома, я был совсем маленьким, 8 лет, тогда у нас напала собака, и он ее убил... после которого я очень нейтрально отношусь к животным абсолютно ко всем.","нейтральность, рациональность, отсутствие страха","самосохранение, рациональность, уважение к авторитетам","Влияние неформальных институтов социализации (старшие, тренер) и травматический опыт формируют особое отношение к животным и окружающим.",эпизод,,1.0,,
6,школьные годы,Отношения со сверстниками и особенности характера,"В школе испытывал трудности в общении со сверстниками из-за прямолинейности и отличия от группы. Был объектом издевательств до 7 класса, после чего дал отпор. С возрастом научился адаптироваться.","Я человек довольно прямолинейный... Тогда я и стал, как это, белой вороной.","отчуждение, самостоятельность, принятие","честность, индивидуализм, моральные принципы",Опыт социальной изоляции и буллинга типичен для подростков с выраженной индивидуальностью. С возрастом происходит адаптация к социальным нормам.,эпизод,,1.0,,
7,школьные и студенческие годы,Учёба и образовательная траектория,"Учёба давалась нелегко, в школе был одиночкой, учителя относились холодно. В колледже начал интересоваться наукой, особенно нейробиологией и историей.",Учеба мне давалась отнюдь нелегко... В колледже ситуация начала строиться иначе. Я начал активно читать книги и углубляться в науку.,"отчуждение, интерес, рост","самообразование, любознательность, развитие",Переход от отчуждения в школе к саморазвитию в колледже отражает изменение образовательной мотивации и поиск себя.,узел,"школа, колледж",1.0,,
8,ранняя взрослость,Военная служба,"После колледжа отслужил в армии в специальном батальоне военной полиции, охранял военно-осужденных, службу закончил с отличием.",Это не помешало мне в прошлом году отслужить в армии в специальном батальоне 28-й отдельно-дисциплинарный батальон военной полиции и охранять военно-осужденных. И закончить военную службу с отличием.,"гордость, удовлетворение","долг, дисциплина, ответственность",Военная служба воспринимается как важный этап взросления и подтверждение мужской идентичности.,эпизод,армия,1.0,,
9,ранняя взрослость,Профессиональная деятельность,"Работает менеджером отдела продаж в международной школе программирования и математики для детей. Нашёл работу через Headhunter после армии, столкнулся с недоверием коллег из-за возраста.","После армии мне не хотели никуда брать. Просто потому что я после армии... мне прислали предложение работу удаленного формата... Когда вам, Евгении, до 25, люди считают, что вы еще неопытен...","раздражение, настойчивость, реализм","самостоятельность, профессионализм, трудолюбие","Молодые специалисты сталкиваются с дискриминацией по возрасту и недоверием со стороны старших коллег, несмотря на объективные успехи.",эпизод,"рынок труда, образовательная компания",1.0,,True
10,ранняя взрослость,Планы на образование,"Планирует получить высшее образование по лингвистическому или юридическому направлению, даёт себе время на выбор.","Я склоняюсь больше к двум направлениям, а именно лингвистическому и юридическому. Какое точно пока сказать не могу, все-таки я даю себе еще время.","осознанность, неопределённость, целеустремлённость","образование, саморазвитие, осознанный выбор","Планирование дальнейшего образования после получения среднего специального — распространённая стратегия среди молодых людей, стремящихся к социальной мобильности.",декларация,высшее образование (планируется),1.0,,
11,ранняя взрослость,Личная жизнь и отношения,"В данный момент не состоит в отношениях, расстался с девушкой перед армией. Считает, что для серьёзных отношений нужны психологическая и финансовая устойчивость.","На отношения пока не планирую. Все-таки, чтобы войти в серьезные отношения... это нужно иметь не только психологическую и финансовую устойчивость, но также какой-нибудь жизненный опыт.","рациональность, спокойствие, зрелость","ответственность, зрелость, опыт","Отношение к отношениям как к серьёзному жизненному проекту, требующему зрелости и ресурсов, характерно для современных молодых людей.",декларация,,1.0,,
12,ранняя взрослость,Опыт совместного проживания и значимость отношений,Опыт совместного проживания с партнёршей рассматривал как способ проверить бытовую совместимость. Первая любовь и последующие отношения оказали значимое влияние.,"Месяц после знакомства я предложил ей съехать в штат... чтобы понять, можем ли мы сойтись в бытовой сфере.","осознанность, благодарность","опыт, честность, бытовая совместимость","Совместное проживание до брака рассматривается как инструмент проверки отношений, что отражает современные тенденции в молодежной среде.",эпизод,,1.0,True,
13,детство — юность,Эмоции и адаптация при переезде,"Переезд из Воркуты в Нижегородскую область воспринимался как положительный опыт, вызывал восторг и удивление от мягкого климата. Стресс отсутствовал, респондент считает себя гибким и стрессоустойчивым.","Вспоминаю восторг. Не может быть так тепло, так великолепно... Я всегда был и остаюсь человеком. Довольно гибкий к разным условиям. Страстно устойчивым.","восторг, спокойствие, адаптация","гибкость, стрессоустойчивость, открытость новому",Позитивная реакция на миграцию и способность адаптироваться к новым условиям — важные черты для успешной интеграции в новое сообщество.,эпизод,,1.0,,
