id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Взрослая жизнь (настоящее время),Текущее положение и краткая биография,"Респондентка кратко описывает свою биографию: рождение в Мариэл, обучение в Казани и Перми, переезд в Липецк, работа в аптеке и затем медицинским представителем, развод, взросление сына, совместное проживание с матерью.","Я родилась в 1976 году в республике Мариэл... После окончания института я вышла... и переехала в город Липецк к месту проживания моего мужа. Работала в аптеке. Сходила в декрет. Потом я доработалась до заместителя заведующей аптеки. И потом решила сменить труд деятельности в силу материальных... Захотела зарабатывать больше денег. Вот так давайте. Я работаю медицинским представителем уже 15 лет. В определенный момент своей жизни я развелась с мужем, ребенок остался со мной. Ну и на сегодняшний момент я проживаю с мамой, а ребенок проживает взрослый, так как он уже взрослый.","спокойствие, некоторая усталость, прагматизм","самостоятельность, материальная стабильность, забота о семье","Биография респондентки типична для женщин поколения 1970-х: профессиональное образование, смена места жительства по браку, развод, самостоятельное воспитание ребёнка, ориентация на материальную независимость.",обзорный эпизод,"фармацевтическое училище, медицинский институт, аптека, фармацевтическая академия",0.0,1.0,
2,Детство и юность,"Жизнь в маленьком поселке, влияние среды","Респондентка описывает детство в небольшом поселке Мариэл, где все друг друга знали, что формировало определённый тип личности — постоянное ощущение, что находишься на виду, важность мнения окружающих, консерватизм. Переезд в город позволил сравнить разные типы среды.","В силу того, что это был маленький поселок городского типа, все друг друга знали, то есть нужно было все время... Ты была на виду, и поэтому в силу этого наложился отпечаток на тип личности в результате этого.","рефлексия, некоторая благодарность, критичность","социальный контроль, стремление к успеху, самосовершенствование","Малые сообщества в России часто формируют у детей повышенную чувствительность к мнению окружающих и консервативные установки, что может влиять на самооценку и амбиции при переезде в город.",эпизод,"посёлок городского типа, республика Мариэл",,,True
3,Детство,Формирование характера и самооценки,"Респондентка отмечает, что жизнь в маленьком поселке наложила отпечаток на её характер: неуверенность в себе, желание доказать свою ценность, защитные реакции. С возрастом эти черты смягчились.","Очень часто люди из таких мест, они очень не уверены в себе. Да, ну и до сих пор. Я не могу сказать, что я очень уверенный в себе человек.","уязвимость, саморефлексия","саморазвитие, честность с собой","Социальная среда малых городов способствует формированию неуверенности и защитных стратегий поведения, что может сохраняться и во взрослой жизни.",узел,,,,True
4,Детство и семейная жизнь,Семейная структура и отношения,"Респондентка выросла в большой семье с традиционными ценностями: родители, младшая сестра, бабушки, дедушки, многочисленные родственники. Отец занимал руководящую должность, что влияло на статус семьи.","Мой отец, он занимал руководящие должности, поэтому семья была такая, ну, скажем, раньше так говорили интеллигенция. Поэтому обыкновенная русская среднестатистическая семья, скажем так.","гордость, спокойствие","семейственность, традиции, уважение к старшим","Семьи с высоким социальным капиталом (руководящие должности, большая родня) формируют у детей чувство принадлежности и устойчивости, но могут усиливать давление соответствовать ожиданиям.",эпизод,"семья, родственные связи",,,True
5,Детство,Воспитание и дисциплина,"В семье применялись методы воспитания, включая физические наказания, что воспринималось как норма того времени. Сейчас респондентка считает, что наказание должно быть, но не обязательно физическим.","Я всё время своему сыну говорю о том, что «я тебя вообще никогда не била». я говорю, а вот дедушка меня мог ремнём стогнуть, там, и тапкой, допустим... Я говорю, ты что, не обижалась? Я говорю, нет, не обижалась.","рефлексия, принятие","дисциплина, справедливость, границы","Воспитательные практики советского и постсоветского времени часто включали физические наказания, что воспринималось как часть нормы и не всегда вызывало протест у детей.",эпизод,,,,True
6,Взрослая жизнь,Отношение к современным социальным нормам,"Респондентка выражает неприятие публичной демонстрации ЛГБТ-культуры и считает, что такие темы не должны навязываться обществу, особенно молодёжи. Ссылается на медицинское образование и традиционные ценности.","Я не считаю нормой гей-парады, вообще выставления всего этого. Я среднестатистический русский человек. Я считаю, что если у тебя есть такое желание, то ты должен это делать дома или где-то, но ты не должен это навязывать.","раздражение, категоричность","традиционализм, приватность, защита детей","Позиция респондентки отражает распространённые в российском обществе традиционалистские взгляды и неприятие публичной ЛГБТ-идентичности, что связано с культурными и образовательными установками.",декларация,,,,True
7,Детство,Роль наказания и воспитания,"Наказания в детстве воспринимались как справедливые и необходимые для формирования характера. С возрастом методы воспитания смягчались, переходя от физического воздействия к убеждению.","Мама нам всё время говорила, вот видите, ремень висит, я могу его применить. Не факт, что она его применяла, но ремень висел всегда. И мы знали, что расплата за плохое поведение, она будет.","спокойствие, принятие","последовательность, справедливость, уважение к авторитету",Переход от физического наказания к словесному убеждению отражает изменения в родительских практиках в постсоветской России.,эпизод,,,,True
8,Детство,"Дружба, буллинг и социальные связи","Респондентка рассказывает о периоде травли в школе из-за внешности и статуса, но отмечает, что всегда имела друзей из разных слоёв общества. Родители учили общаться со всеми, независимо от происхождения.","Мой рыжий цвет волос, моя худоба и ношение очков с четвертого класса, это был прям вот бич, меня прям травили прям вообще сильно... но у меня были друзья, дети из неблагополучных семей. Мы там всегда общались, и мои родители никогда нам не говорили, не дружите с этими, они не из благополучной семьи, никогда такого не было.","открытость, благодарность, некоторая уязвимость","толерантность, дружба, равенство","Опыт буллинга и одновременное наличие друзей из разных социальных групп формируют у респондента устойчивость и эмпатию, а также критическое отношение к социальным иерархиям.",эпизод,,,,True
9,Детство,Влияние статуса семьи на отношения в школе,"Травля в школе была связана не только с внешностью, но и с социальным статусом — предвзятое отношение учительницы к дочери начальника, что подхватили дети.","Когда я туда пришла, там оказалась не очень удачная учительница, то есть у нее было ко мне предвзятое отношение из-за того, что я дочка начальника, то есть, ну, вот такое прям, это все началось как бы с нее, а дети все срисовали.","обида, понимание причин","справедливость, самостоятельность","В малых сообществах статус родителей может стать причиной как привилегий, так и социальной изоляции ребёнка.",эпизод,,,,True
10,Детство,Родительская поддержка и открытость,"Респондентка могла делиться с родителями своими проблемами, не опасаясь наказания за честность. В семье поощрялась открытость и обсуждение сложных ситуаций.","Я знала, что мне никогда не будут ругать за что-то. И если я когда-то что-то плохое сделала, и маме рассказали... было очень стыдно. А стыд это такое... Это такое двоякое чувство. Либо ты после этого перестаёшь делать то, что тебе стыдно делать, либо ты принимаешь другую позицию и идёшь вопреки. Я выбрала правильную, видимо, позицию, вопреки не пошла.","доверие, благодарность","открытость, честность, саморефлексия",Семейная атмосфера доверия способствует формированию у ребёнка способности к саморефлексии и самостоятельному принятию решений.,эпизод,,,,True
