id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation
1,Детство и юность,Семья и раннее окружение,"Респондент вырос в Луганской области, Украина, в семье с матерью и старшей сестрой. Отец ушёл из семьи, когда респондент был маленьким, и вскоре умер. Воспитанием занимались мама, бабушка и дедушка. Мама работала на заработках, чтобы содержать семью.","С мамой жили. Мама работала. Тогда работы не было в Украине. Ну как, плохая была. Мама работала на заработках, мы с сестрой.","спокойная констатация, лёгкая грусть","семейная поддержка, выживание, благодарность матери","Типичная для постсоветского пространства ситуация: неполная семья, материальные трудности, трудовая миграция матери. Отсутствие отца и опора на женскую часть семьи формируют устойчивость и самостоятельность.",эпизод,"семья, школа",0.0,0.0
2,Подростковый возраст,Проблемы с законом и поддержка семьи,"В подростковом возрасте респондент попал в плохую компанию, участвовал в проникновении в квартиру, за что получил условный срок. Мать поддерживала его в этот сложный период, что помогло избежать худших последствий.","Спасибо ей, что я не сел в тюрьму.","благодарность, облегчение, некоторая вина","поддержка близких, шанс на исправление","Случай с условным сроком иллюстрирует риски для подростков из неблагополучных или неполных семей, а также важность родительской поддержки для социальной адаптации.",перелом,"правоохранительная система, семья",0.0,0.0
3,Юность и ранняя зрелость,Образование и профессиональный выбор,"После 9 класса респондент поступил в училище на сборщика металлоконструкций, поскольку учёба в школе была неинтересна и не давалась. В училище учиться было проще и интереснее из-за практической направленности.","Мне сказали, что 10-11 класс – это не для тебя. Ну, пришлось идти в училище.","принятие, некоторая пассивность","прагматизм, ориентация на практику",Переход в профессиональное училище после 9 класса — распространённая стратегия среди молодёжи из семей с ограниченными ресурсами. Практическая направленность образования воспринимается как более доступная и полезная.,узел,ПТУ (профессиональное училище),0.0,1.0
4,Молодость,Начало трудовой деятельности и трудовая миграция,"После училища начал работать на заводе по профессии, но из-за нестабильности зарплаты и отсутствия заказов был вынужден ездить на заработки в Россию. Этот период длился до начала войны в 2014 году.","Ну, тоже перестали деньги платить, пришлось ездить в Россию. Ну, практически в России и работать, короче.","усталость, вынужденность","необходимость зарабатывать, адаптация к обстоятельствам",Трудовая миграция в Россию — типичная стратегия выживания для жителей востока Украины в условиях экономического кризиса и нестабильности.,эпизод,"завод, рынок труда",0.0,1.0
5,Молодость — зрелость,Война и вынужденная миграция,"С началом войны на Донбассе респондент окончательно уехал из Украины, работал в Москве в строительстве. Испытывал сложности из-за демпинга зарплат мигрантами и смены трудового коллектива.","Ну, потом я уехал, война началась. Вообще ж работы не было ничего. Ну, то ехал, в Москве работал на фирме я долго, там года четыре, наверное.","разочарование, усталость, адаптация","выживание, профессионализм, стабильность",Война становится фактором вынужденной миграции и смены профессии. Конкуренция с мигрантами из Средней Азии воспринимается как угроза привычному укладу труда.,перелом,"строительная фирма, рынок труда",0.0,1.0
6,Зрелость,Переезд в Санкт-Петербург и профессиональная адаптация,"После работы в Москве респондент по объявлению нашёл работу в Санкт-Петербурге, где устроился на завод по кораблестроению. Оценил близость работы к дому и официальное трудоустройство.","По объявлению нашел в Питере работу. На заводе. На фирме. Было объявление, мы приехали с другом, с Куном. И остались здесь.","удовлетворение, спокойствие","стабильность, профессионализм, близость к дому",Переезд в крупный город и официальное трудоустройство — стратегия закрепления и социальной интеграции мигранта.,узел,"завод, рынок труда",0.0,1.0
7,Зрелость,Личная жизнь и создание семьи,"В Санкт-Петербурге респондент познакомился с будущей женой, женился три года назад. Вместе накопили на комнату, что стало важным достижением. Семейная жизнь принесла спокойствие и стабильность.","Накопили на комнату, купили себе комнату. Ну, в принципе... Это спокойнее стало, суеты меньше стало.","удовлетворение, спокойствие","семья, стабильность, самостоятельность",Создание семьи и приобретение жилья — ключевые маркеры взрослости и социальной успешности для мигранта.,узел,"семья, рынок жилья",1.0,1.0
8,Зрелость,Военные сборы и опыт мобилизации,"В 2023 году респондент был призван на военные сборы в России, хотя не служил ранее из-за судимости. Испытывал стресс и неопределённость, подчёркивает разницу между добровольцами и мобилизованными.","Когда ты перешагнул забор воинской части, ты уже боевая единица, ты уже не человек. Ты рядовой какой-то части. Без вариантов.","стресс, отчуждение, принятие","долг, выживание, адаптация",Опыт мобилизации для мигранта с украинским прошлым — сложный идентификационный и психологический вызов. Отмечается отчуждение и отсутствие выбора.,перелом,"армия, государство",0.0,0.0
9,Настоящее,Повседневная жизнь и досуг,"Респондент описывает свой распорядок дня: ранний подъём, работа до вечера, отдых дома, встречи с коллегами по пятницам, прогулки и домашние дела на выходных. Жильё выбрано рядом с работой для удобства.","Вот смотрите, с 5 часов я просыпаюсь... на работе я нахожусь до 7 вечера. Прихожу с работы, поел и ложусь отдыхать. В пятницу мы идем по 50 грамм.","спокойствие, удовлетворение","рутина, стабильность, простые радости",Повседневная рутина и простые удовольствия становятся опорой для человека с опытом миграции и нестабильности. Близость работы и жилья — важный фактор качества жизни.,эпизод,"работа, жильё",1.0,1.0
1,Взрослая самостоятельная жизнь,Жилищные условия и соседи,"Респондент живет во вторичном жилье, хозяйка оставила почти все вещи. С соседями отношения в целом хорошие, но с соседями сверху бывают конфликты из-за шума, особенно в день зарплаты.","Шумят, да, алкаши. Приходится ходить когда-никогда. Успокаивать их, успокаивать надо. Не понимают по-людски.","Раздражение, усталость","Покой, порядок, самостоятельность","Жилищная ситуация типична для городских жителей среднего класса, сталкивающихся с проблемой соседства и шумом. Отражает распространённую проблему вторичного жилья и социального окружения.",эпизод,,0.0,
