id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,market_participation,housing_promised
1,Детство и юность,"Жизнь в стаёжном посёлке, школа","Респондентка родилась и выросла в стаёжном посёлке в республике Коми, где окончила школу. Воспоминания о детстве наполнены позитивом: хорошие преподаватели, друзья, интересная школьная жизнь.","Моё детство прошло в стаёжном посёлке в республике Коми. Там же школу закончила. Было очень замечательно. У нас замечательная школа, очень удивительные преподаватели были, друзья.","Ностальгия, благодарность","Образование, дружба, уважение к учителям","Детство в малом промышленном посёлке формирует чувство общности, ценность образования и межличностных связей. Воспоминания о школе и преподавателях указывают на значимость образовательных институтов в социализации.",эпизод,"школа, леспромхоз",1.0,,
2,"Молодость, профессиональное становление","Поступление в институт, начало трудовой деятельности","После окончания школы респондентка уехала учиться в индустриальный (технический) институт, затем работала инженером-строителем в проектном институте.","Школу закончила, уехала, поступила в институт. Закончила, работала. Работала в проектном институте, работала инженером. Инженер-строитель по образованию.","Гордость, удовлетворение","Профессионализм, образование, труд","Поступление в вуз и работа по специальности отражают типичный сценарий советской и постсоветской социализации, где высшее образование и инженерные профессии были социально престижны.",эпизод,"индустриальный институт (ныне университет), проектный институт",1.0,трудовая занятость по специальности,
3,"Постсоветский кризис, вынужденная занятость","Закрытие проектного института, челночная торговля","После закрытия проектного института респондентка была вынуждена заняться челночной торговлей, ездить в Москву с сумкой, чтобы зарабатывать на жизнь. Этот период оценивается негативно.","А потом, как все в нашей стране, проектный институт закрылся. Я читаю сумку и вперёд. В Москву, только в Москву. ... Ужасно. Конечно, любой опыт – это опыт, но лучше бы его не было.","Разочарование, усталость","Стабильность, профессиональная самореализация",Переходный период 1990-х годов вынудил многих специалистов сменить профессию и заняться торговлей. Это типичная биографическая травма для представителей инженерных профессий того времени.,перелом,,1.0,челночная торговля,
4,"Переезд, зрелость",Переезд в Санкт-Петербург к детям,"После того как дети выучились и переехали в Санкт-Петербург, респондентка также переехала туда около 12-13 лет назад.","Петербург приехала не так давно сравнительно. 12 лет, 13. Я приехала к ним.","Спокойствие, принятие","Семья, поддержка детей","Переезд к детям в крупный город — распространённая стратегия пожилых людей, ищущих поддержку и новые социальные связи.",узел,"семья, город Санкт-Петербург",1.0,,жильё отдельно от детей
5,"Пожилой возраст, пенсия","Роль бабушки и прабабушки, отношения с детьми и внуками","Респондентка имеет двоих детей, внуков и даже правнучку. Отношения с семьёй тёплые, но живут далеко друг от друга, общаются по телефону почти ежедневно, встречаются нечасто.","Когда маленькие, то вообще замечательно, сейчас подрастают, у них свои дела... Я хочу, и они хотят. Живём далековато друг от друга.","Тёплая грусть, принятие","Семья, забота, независимость","Современные семьи часто живут раздельно, поддерживая отношения дистанционно. Для пожилых людей важна эмоциональная связь, несмотря на территориальную разобщённость.",эпизод,,1.0,,жильё отдельно от детей
6,"Пожилой возраст, пенсия","Повседневная жизнь, досуг, культурные практики","Респондентка любит Петербург, посещает театры, выставки, гуляет, читает аналитику, смотрит передачи. Времяпрепровождение зависит от состояния здоровья и финансовых возможностей.","Я очень люблю этот город. Я, вы знаете, как будто всю жизнь здесь жила. Люблю ходить по этим местам, я люблю ходить в театры, на выставки. Ну, куда могу, куда пенсия позволяет.","Удовлетворение, лёгкая грусть","Культура, саморазвитие, независимость","Доступ к культурным благам для пожилых людей ограничен финансово и физически, но сохраняется стремление к саморазвитию и социальной активности.",эпизод,,1.0,потребление культурных услуг,
7,"Пожилой возраст, пенсия",Дружба и социальные связи,"У респондентки три близкие подруги, с которыми она поддерживает регулярную связь. Все они из Республики Коми, переехали в Петербург примерно одновременно. Встречи и общение строятся вокруг интересов и поддержки друг друга.","Они все у меня из той же из Республики Коми. Так получилось, что мы примерно одинаково в одно время переехали в Санкт-Петербург. ... Ходим дружно. У нас традиция.","Тепло, благодарность","Дружба, поддержка, традиции","Миграция и переезд в новый город способствуют формированию новых, но устойчивых социальных связей на основе общего прошлого.",эпизод,,1.0,,
8,"Пожилой возраст, пенсия","Соседские отношения, локальное сообщество","Респондентка поддерживает хорошие отношения с соседями, вместе проводят время, занимаются совместным садоводством.",Соседи у меня замечательные. ... Мы раскопали полисаги метр на метр. Цыпочки высаживаем.,"Уют, удовлетворение","Соседство, коллективизм, локальная идентичность",Соседские связи становятся важным ресурсом поддержки и социальной активности в пожилом возрасте.,эпизод,,1.0,,"первый этаж, удобство для садоводства"
9,"Пожилой возраст, пенсия",Здоровье и отношение к нему,"Здоровье ухудшилось, много времени уходит на медицинские процедуры и посещение поликлиники. Респондентка сожалеет, что не уделяла здоровью больше внимания раньше.","К сожалению, у нас так принято, что мы о здоровье задумываемся уже тогда, когда его нет.","Сожаление, принятие","Забота о себе, ответственность","Проблемы со здоровьем — типичная черта старости, часто сопровождаются рефлексией о прошлом и сожалением о недостаточной профилактике.",декларация,поликлиника,1.0,,
10,"Пожилой возраст, пенсия","Финансовое положение, материальные ограничения","Основной доход — пенсия, дети помогают. Финансовое положение оценивается как терпимое, но есть ограничения, особенно в последние годы.","Мне хватает на массу не всегда. Особенно в последнее время, когда очень... Пока на паперти не было.","Сдержанный оптимизм, тревога","Самостоятельность, достоинство","Пенсионеры часто сталкиваются с финансовыми трудностями, но стараются сохранять достоинство и не жаловаться.",декларация,,1.0,"получение пенсии, помощь детей",
11,"Пожилой возраст, пенсия",Отношение к государственным институтам,"Респондентка положительно оценивает работу поликлиники, отмечает цифровизацию и доступность специалистов. Опыт общения с соцслужбами минимален.","У нас замечательная поликлиника. Вся она оборудована, вся она цифровая. В очередях не сидим. Специалисты доступны. Я довольна.",Удовлетворение,"Доступность, качество услуг","Положительная оценка государственных услуг редка среди пожилых, что может говорить о реальных улучшениях или индивидуальном опыте.",декларация,"поликлиника, соцслужбы",1.0,,
12,"Пожилой возраст, пенсия",Отношение к политике и социальной справедливости,"Респондентка интересуется политикой, читает аналитику, но в кругу друзей политику не обсуждает. Выражает озабоченность социальной справедливостью, неравенством, необходимостью неотвратимости наказания и сохранения страны.","Времена не выбирают, они живут и умирают. ... Хотела, чтобы Россия сохранилась как страна. ... Неотвратимость наказания. Если ты приступаешь к закону, должен знать, что тебе за это придут.","Озабоченность, рефлексия","Справедливость, законность, патриотизм","Пожилые люди часто рефлексируют о переменах в стране, выражают тревогу по поводу социальной несправедливости и разрыва между элитой и простыми людьми.",декларация,,1.0,,
13,"Пожилой возраст, пенсия",Рефлексия о социализме и современных возможностях,"Респондентка ссылается на социалистические принципы справедливости, отмечает, что сейчас способности людей не реализуются из-за финансовых ограничений.",В наше время способности не очень раскрываются. У людей нет возможности реализовать свои способности.,"Сожаление, критика","Равенство возможностей, развитие личности","Сравнение с советским прошлым и критика современных социальных лифтов типичны для старшего поколения, выросшего в СССР.",декларация,,1.0,,
1,"Родительство, зрелый возраст",Критика современной системы образования,"Респондент выражает недовольство современным школьным образованием, отмечая, что детей не учат творчеству, а лишь натаскивают. Сравнивает нынешнюю систему с прошлым, когда из детей старались сделать творцов.","Когда учились мои дети, все-таки из них делали творцов, а сейчас даже и потребителей не делают.","Разочарование, тревога","Творчество, развитие личности, качество образования","Респондент демонстрирует типичную для старшего поколения критику реформ образования, ностальгирует по советской или более ранней системе, где ценились творческие и личностные качества.",декларация,"школа, система образования",,,
2,"Родительство, зрелый возраст",Содержание школьных предметов и их ценность,"Респондент считает, что в школе слишком много времени уделяется второстепенным предметам, а базовые знания страдают. Критически относится к предмету 'семьеведение', считая его неэффективным.","Кто учит семейные деньги? Даже учительница одинокая, которая собственную жизнь не построила.","Скепсис, ирония","Практичность, эффективность образования","Отражает недоверие к новым образовательным практикам и акцент на традиционных ценностях, а также критику формализма в образовании.",декларация,школа,,,
3,"Детство, воспоминания",Сравнение детства разных поколений,"Респондент сравнивает своё детство с детством внуков, отмечая, что сейчас материальное положение лучше, но не хватает общения с родителями из-за их занятости.","Сейчас с работы не приходят, у них все равно гаджеты, телевизоры, а такового общения мало.","Сожаление, лёгкая грусть","Семейное общение, близость","Тема разрыва поколений и изменения семейных практик, типичная для пожилых респондентов, фиксируется как потеря эмоционального контакта в современных семьях.",узел,,,,False
4,Детство,Особенности собственного детства,"Респондент рассказывает, что в её детстве было достаточно общения с родителями, так как отец был инвалидом и находился дома.","В моем детстве лично было достаточно, потому что у меня был отец-инвалид первый в группе, он был дома, он не работал. И я с ним общалась 24 на 7.","Теплота, благодарность","Семейная поддержка, забота","Личный опыт респондента отличается от типичного, что связано с особенностями семьи (отец-инвалид). Это влияет на восприятие ценности общения.",эпизод,,,,
5,Родительство,Роль родителя в жизни ребёнка,"Респондент считает, что важно, чтобы ребёнок чувствовал себя нужным и любимым, даже если совершает ошибки.","Но ты все равно мой сын, моя дочь, я тебя не буду.","Безусловная любовь, принятие","Безусловная поддержка, принятие","Отражает ценности традиционной семьи, где важна поддержка ребёнка независимо от его поступков.",декларация,,,,
6,"Пожилой возраст, зрелость",Отношение к цифровым технологиям и интернету,"Респондент положительно относится к цифровизации, считает интернет и приложения удобными инструментами, но отмечает риски и ограничения.","Я совершенно не против цифровизации, я не против искусственного интеллекта. Это же всё инструменты.","Рациональность, умеренный оптимизм","Практичность, открытость новому","Пожилой респондент демонстрирует адаптацию к цифровым технологиям, что не всегда типично для этого возраста.",декларация,,,"использование онлайн-банкинга, онлайн-покупки",
7,Пожилой возраст,Использование социальных сетей и приложений,"Респондент использует социальные сети в основном для чтения, иногда комментирует, но не вступает в споры. Общается с одноклассниками через ВКонтакте и WhatsApp.","Я не конфликтный человек. Если человеку подстудят, мы же будем, все равно ничего не докажешь. Каждый останется при своем.","Спокойствие, дистанция","Гармония, избегание конфликтов","Показательна стратегия дистанцирования от конфликтов в интернете, характерная для старшего поколения.",эпизод,,,"социальные сети, мессенджеры",
8,Пожилой возраст,Критика онлайн-образования,"Респондент считает, что полностью онлайн-образование неэффективно, особенно для детей, так как теряется живое общение и авторитет педагога.","Полностью онлайн-образование я считаю, что это плохо. ... Дети должны быть учителями живого человека.","Скепсис, тревога","Личное общение, авторитет учителя",Отражает опасения старшего поколения по поводу дегуманизации образования и утраты личного контакта.,декларация,"школа, онлайн-образование",,,
9,Пожилой возраст,Отношение к искусственному интеллекту,"Респондент скептически относится к современным достижениям в области искусственного интеллекта, считая, что пока это просто программы, а не настоящий интеллект.","Искусственный интеллект будет тогда, когда этот интеллект сам себя осознает. Будет сам себе программы писать, тогда это будет интеллект. А пока нет искусственного.","Скепсис, осторожность","Критическое мышление, осторожность",Позиция респондента отражает недоверие к хайпу вокруг ИИ и акцент на философском определении интеллекта.,декларация,,,,
10,Пожилой возраст,Опасения по поводу развития искусственного интеллекта,"Респондент опасается, что если появится настоящий искусственный интеллект, он может решить, что люди не нужны, и уничтожить человечество.","Посчитают, что искусственный интеллект, посчитают, что люди — это бесполезная часть на нашей Земле. Без неё вполне можно обойтись.","Тревога, страх","Безопасность, сохранение человечества",Отражает распространённые страхи перед технологическим будущим и возможной утратой контроля человеком.,декларация,,,,
11,Пожилой возраст,Вера в духовность человека,"Респондент считает, что у человечества есть большой потенциал, и верит в духовную природу человека.","Я верю, что человечество и человек всё-таки существо духовное. Мне будет очень жаль, если на самом деле будет такой вариант, который забладает.","Надежда, вера","Духовность, вера в человека","Декларируется вера в высшие ценности и потенциал человечества, несмотря на технологические угрозы.",декларация,,,,
12,Пожилой возраст,Опасения по поводу цифровой безопасности,"Респондент обеспокоена утечкой личных данных и мошенничеством, считает, что тотальная цифровизация не обеспечивает безопасность.",Когда все данные могут куда угодно сниться и кем угодно воспользоваться. Тот же вал мошенников.,"Тревога, обеспокоенность","Безопасность, приватность",Типичная для пожилых людей тревога по поводу цифровых рисков и недоверие к тотальной цифровизации.,декларация,,,,
13,Пожилой возраст,Проблемы цифровизации для пожилых людей,"Респондент рассказывает о случае, когда пожилая женщина не смогла воспользоваться общественным транспортом из-за отсутствия наличных и невозможности оплатить поездку картой.","Вот был такой у меня инцидент. Значит, пришла я на остановку, а там сидит бабуля. Зажав в руке 100 рублей. И говорит, я могу проехать на автобусе? Кондуктора нет, водитель не принимает. Валидаторы только для карточек.","Сочувствие, беспокойство","Справедливость, забота о пожилых",Проблема цифрового неравенства и социальной изоляции пожилых людей в условиях цифровизации общественных услуг.,эпизод,,,,
14,"Пожилой возраст, настоящее",Изменения в жизни и планы на будущее,"Респондент рассказывает о недавней операции, ограничениях в передвижении, но сохраняет желание путешествовать и радоваться жизни.","В клубе я делала операцию. К сожалению, зал до сих пор не закрылся. Для меня очень много стало табу. И поездки, и бассейны только я люблю. Вот. И ничего. Ещё достаточно много чего осталось.","Сдержанный оптимизм, принятие","Жизнерадостность, активность","Несмотря на возраст и ограничения по здоровью, респондент сохраняет позитивный настрой и стремление к активности.",узел,,,,
