id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Детство и юность,"Семья, воспитание и первые годы жизни","Респондент родился в Ярославле, родители переехали из деревни работать на завод. Детство прошло в Волжске, где родители работали в смены, а дети были предоставлены сами себе. Воспоминания о свободе, самостоятельности и опасных играх с друзьями. В семье был старший брат, с ними жила бабушка, отношения между мамой и бабушкой были напряжёнными.","Мы в школу ходили. Бегали. В общем, предоставлены были сами себе. Я сейчас вспоминаю, как сейчас мобильный телефон, а ты туда дойдешь, а ты мне позвони. А тут вообще ушел куда-то ребенок, вернулся к ночи вообще живой, слава Богу. И никто даже не переживал, где он, что там.","ностальгия, лёгкая ирония, принятие","самостоятельность, свобода, семейные связи, выживание","Детство респондента прошло в условиях позднесоветской провинции, где дети были относительно автономны, а родители заняты тяжелым трудом. Семейные отношения типичны для того времени: многопоколенная семья, конфликты между поколениями, коллективное воспитание.",эпизод,"школа, завод, семья",0.0,0.0,
2,Юность и ранняя взрослость,Образование и армия,"После окончания 8 классов респондент поступил в техникум по примеру старшего брата, затем служил три года на военно-морском флоте, побывал на надводных кораблях, подлодке и авианосце. Воспоминания о службе наполнены деталями быта и ощущением приключения.","Я служил на надводных кораблях, но послужил месяц на подлодке и неделю на авианосце в 14-палубном Средиземноморье. Тогда из Севастополя, еще тогда он был русский, российский, 86-89 год, ходили на боевую службу в Средиземное море.","гордость, интерес, лёгкая ирония","дисциплина, приключения, преодоление трудностей",Поступление в техникум и служба в армии были стандартными траекториями для молодых людей советского времени. Армия выступает как важный институт социализации и взросления.,эпизод,"техникум, армия (военно-морской флот)",0.0,0.0,
3,Ранняя взрослость,Работа на заводе и советский быт,"После армии респондент работал на заводе, описывает тяжелые условия труда и дефицит товаров в позднесоветское время. Вспоминает очереди за продуктами и бытовые трудности.","В те времена... условия были, я бы сказал, такие адские. В тех условиях, я вообще не знаю, что людей держало десятилетиями работать на этих заводах, где утром надо впихиваться в автобус, и это еще надо было уметь делать, чтобы в автобус влезть, на работу приехать.","раздражение, усталость, ирония","выживание, трудолюбие, адаптация","Работа на заводе и борьба за дефицитные товары — типичный опыт для поколения, выросшего в СССР. Описания очередей и бытовых сложностей иллюстрируют повседневную жизнь советского рабочего класса.",эпизод,завод,0.0,0.0,
4,Переходный период (начало 1990-х),Предпринимательство и поиск себя,"После аварии и работы сторожем респондент включился в волну предпринимательства 1990-х: торговля шоколадками, мебелью, открытие собственного магазина, расширение бизнеса. Кризис 1998 года разрушил партнерские отношения, и он переехал в Москву.","А потом началось эра предпринимательства. Это, наверное, 92-й, может быть, или 3-й год. Стали открываться всякие индивидуальные частные предприятия. Продавать всякие шоколадки. Потом они открыли мебельный магазин...","энтузиазм, азарт, разочарование (после кризиса)","предприимчивость, самостоятельность, адаптация к переменам","Переход к рыночной экономике в 1990-е открыл новые возможности для инициативных людей, но сопровождался высокой нестабильностью и рисками. Биография респондента отражает типичный путь «нового предпринимателя» того времени.",перелом,"малый бизнес, рынок",0.0,1.0,
5,"Взрослая жизнь, зрелость","Переезд в Москву, смена профессий и новые проекты","После неудачи в бизнесе респондент переехал в Москву, работал электромонтажником, затем открыл своё предприятие в сфере электромонтажа. Позже увлёкся инфобизнесом, участвовал в семинарах, организовывал тренинги, познакомился с будущей женой.","Потом три года поработав там, поднадоело мне, решил с товарищем открыть свое частное предприятие, занимались там электрикой по Москве, по Подмосковью... Потом это все мне поднадоело, решил я пойти в инфобизнес...","усталость, поиск нового, интерес","развитие, обучение, самореализация","Череда смен профессий и сфер деятельности — характерная черта для поколения, пережившего экономические потрясения 1990-х и 2000-х. Важную роль начинают играть новые формы занятости (инфобизнес, коучинг).",узел,"малый бизнес, инфобизнес",0.0,1.0,
6,Семейная жизнь и зрелость,"Семья, переезды, новые бизнесы","Познакомился с женой на одном из тренингов, переехал в Сыктывкар, открыл рекламное агентство, затем снова переезд в Москву, работа в рекламе, потом запуск бизнеса по продаже термотрансферов. В последние годы переезд в Геленджик и открытие собственного производства.","Потом, через какое-то время, года через два, наверное, одну из таких игр встретил свою жену настоящую. Ну и все, уехал в Сыктывкар. Она в Сыктывкар была. Там открыл рекламное агентство...","удовлетворение, интерес, динамика","семья, мобильность, предпринимательство",Семейная жизнь тесно переплетена с профессиональной: переезды связаны с бизнесом и семьёй. Гибкость и готовность к переменам — важные черты для успешной адаптации в постсоветской России.,узел,"семья, малый бизнес",1.0,1.0,
7,Рефлексия и самоопределение,Отношение к переменам и разнообразию опыта,"Респондент отмечает, что не любит повторять одни и те же действия, предпочитает разнообразие и новые вызовы. Это отражается в его биографии: частая смена сфер деятельности, переезды, новые проекты.",Мне вообще не нравится по одной и той же дороге много раз ходить. если в одно и то же место.,"самоирония, принятие себя","разнообразие, развитие, свобода выбора","Декларация ценностей респондента иллюстрирует индивидуалистическую стратегию жизни, характерную для части постсоветского среднего класса. Готовность к переменам становится ключевой компетенцией.",декларация,,0.0,1.0,
8,Детство,Детские мечты,"В детстве респондент мечтал стать космонавтом, что типично для советских детей того времени.","Конечно, письмонавты.","ностальгия, улыбка","мечтательность, устремленность в будущее","Мечта о космосе — маркер эпохи, когда советская космическая программа формировала детские идеалы.",эпизод,,0.0,0.0,
1,Детство,Яркие воспоминания и досуг в детстве,"Респондент вспоминает активные и самостоятельные игры с друзьями, приключения на природе, поездки на рыбалку, лазание по коллекторам, строительство шалашей, помощь родителям на даче.","Самый яркий – это как раз лазение по коллекторам, на рыбалку, когда ездили, или мальчишками ходили сами куда-то на речку или на озера.","ностальгия, радость","самостоятельность, дружба, приключения, связь с природой","Детство респондента прошло в условиях относительной свободы и самостоятельности, характерных для советских и постсоветских дворовых практик. Важную роль играли неформальные группы сверстников и самостоятельное освоение пространства.",эпизод,"семья, неформальные детские группы",,,
2,"Юность, школьные годы",Отношение к учебе и первые трудовые опыты,"Респондент рассказывает о равнодушии к учебе и о том, как родители летом отправляли подрабатывать на заводы, чтобы не слонялся без дела.","Потому что, понимаете, дальше пошло что-то непонятное, и ты не понимал, зачем оно тебе в жизни пригодится. То есть запроса на это не было.","безразличие, легкая ирония","практичность, трудолюбие, семейные традиции",Раннее вовлечение в трудовую деятельность и скепсис по отношению к формальному образованию типичны для многих семей рабочего класса постсоветского пространства.,эпизод,"школа, завод, семья",,,
