id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Взрослая жизнь (настоящее время),Демографические и идентификационные данные,"Респондентка — женщина, родилась в 1979 году, живёт в Казани, имеет смешанное русско-еврейское происхождение, ощущает себя наполовину русской, наполовину еврейкой, с элементами татарской культуры. Не состоит в официальных отношениях, детей нет, придерживается свободного образа жизни.","абсолютно свободный человек... Уже пришла к тому, что мне так.","уверенность, лёгкая ирония","свобода, независимость, уважение к разным культурам, приватность","Респондентка демонстрирует современную городскую идентичность, характерную для крупных российских городов с многонациональным составом. Подчёркивает свою независимость и дистанцию от традиционных семейных ролей.",декларация,"город Казань, высшее образование, свободные отношения",0.0,"самозанятость, предпринимательство",
2,Детство (1979–1990),Семья и жилищные условия,"Родилась в советской семье научных сотрудников, жила в большой семье с бабушками, дедушками и прабабушкой в Казани. Сначала в хрущёвке, затем благодаря усилиям отца получили отдельную кооперативную квартиру, где сейчас живёт одна.","жили мы с бабушкой с мамиными родителями... у нас была так скажем большая семья 6 человек... Потом, когда мне было 10 лет, у меня папа постарался и сделал так, что нам двухкомнатную квартиру отдельную. Дали кооператив.","ностальгия, благодарность","семейственность, забота, стабильность, самостоятельность",Опыт жизни в многопоколенной семье типичен для позднесоветского времени. Получение отдельного жилья через кооператив — важный социальный лифт и символ статуса для семьи научных сотрудников.,эпизод,"советская система образования, кооперативное жильё",1.0,,
3,Детство и юность,Дачная жизнь и летние воспоминания,"Каждое лето проводила на даче с бабушкой и дедушкой, сначала на острове, затем в садовом обществе. Воспринимает это время как волшебное и наполненное природой и семейным общением.","я вспоминаю, как такой волшебный участок, у нас там лес на участке, грибы прямо росли, Волга рядом, спускаешься, песок.","тёплая ностальгия, умиротворение","природа, семейные традиции, простота, радость детства","Дачная культура — важная часть советского и постсоветского образа жизни, формирующая устойчивые воспоминания и ценности, связанные с природой и семейным досугом.",эпизод,"дачное садоводство, семейные традиции",,,
4,Школьные годы (до 1996),"Образование, социализация и характер","Училась в элитной английской школе после переезда, была отличницей и хулиганкой, имела сложные отношения с учителями и сверстниками, проявляла независимость и бойкий характер.","в школе как-то это хулиганка была, то есть и отличница, и все хорошо, да, лучше всех в классе, но у меня характер, конечно, в папу пошел...","самоирония, гордость, некоторая обида","самостоятельность, независимость, справедливость, честность","Респондентка демонстрирует типичный для 90-х годов конфликт между индивидуализмом и авторитарной школьной системой, а также формирование самостоятельной позиции.",узел,"школа №19 (элитная английская), советская/постсоветская школа",,,
5,Юность и ранняя взрослость (1990-е),"Влияние 90-х, семейный бизнес, первые трудности","В 90-е годы попала под влияние уличной компании, вела аморальный образ жизни, наблюдала за рынком и бизнесом вокруг, отец занялся строительным бизнесом. Ухаживала за больной бабушкой, постепенно ушло старшее поколение.","Пила такой, можно сказать, аморальный образ жизни... У нас рядом с домом был рынок... А папа тоже у меня стал заниматься бизнесом...","откровенность, некоторая грусть, принятие","выживание, адаптация, семейная поддержка","Поколенческий опыт 90-х — столкновение с экономической нестабильностью, формирование предпринимательских стратегий, ранняя социализация через уличные практики.",эпизод,,,"наблюдение за рынком, семейный бизнес",
6,Студенчество (конец 1990-х — начало 2000-х),Образование и первые попытки профессионализации,"Поступила сначала на программирование, затем перевелась на экономику и психологию. Вспоминает студенческие годы как беззаботные и наполненные дружбой. Пыталась поступить в театральное училище, но не прошла.","Сначала я училась на программировании, на ВМК... Потом я перевелась в КАИ, в технический, и там на экономист и психология... То, что с теплотой я эти студенческие годы вспоминаю.","ностальгия, радость, лёгкая грусть","дружба, саморазвитие, свобода выбора","Студенчество — период поиска себя, смены образовательных траекторий, попыток реализовать творческие амбиции.",эпизод,"ВМК, КАИ (Казанский авиационный институт), театральное училище",,,
7,Начало трудовой деятельности (2000-е),"Поиск работы, первые профессиональные разочарования","После университета столкнулась с трудностями поиска работы, работала секретарём, на телеканале, испытывала унижения на собеседованиях, быстро уходила с некомфортных мест.","Сколько унижений было, когда я приходила, как на собеседование обращались, то, что пришла попросить в позиции просящей.","разочарование, обида, усталость","достоинство, независимость, самоуважение","Опыт трудоустройства в постсоветской России часто сопряжён с унижением и неустойчивостью, что формирует негативное отношение к наёмному труду.",эпизод,,,"наёмный труд, офисная работа",
8,Взрослая жизнь (2010-е — настоящее время),Предпринимательство и творческий поиск,"Открыла ИП, торговала на рынке и в магазине, затем занялась журналистикой, позже — туризмом. Сейчас развивает творческие направления: актёрское мастерство, ведение мероприятий, блогерство.","Потом открыла свою ИП... держала торговую точку... Потом все-таки это уже стало убыточно... Сейчас я еще обучилась на актерское мастерство, на ораторское... развиваюсь сейчас как ведущая мероприятия, хочу как блогер...","энтузиазм, оптимизм, некоторая неуверенность","самореализация, свобода, творчество, независимость",Переход к самозанятости и творческим профессиям отражает тенденцию ухода от традиционного найма и поиск гибких форм занятости среди женщин среднего возраста.,узел,"ИП, рынок, туристическая сфера, актёрские курсы",,"предпринимательство, самозанятость, творческие профессии",
9,Взрослая жизнь (настоящее время),Отношение к работе и свободе,"Не приемлет работу по найму, ценит свободу и самостоятельность, несмотря на нестабильность дохода. Предпочитает сама распоряжаться своим временем и жизнью.","я не могу, я свободу люблю, то есть сама себя, сама на себя.","уверенность, удовлетворение","свобода, независимость, самореализация","Респондентка выражает ценности нового индивидуализма, характерного для постсоветского поколения, особенно среди женщин, стремящихся к самореализации вне традиционных рамок.",декларация,,,"самозанятость, фриланс",
10,Детство и юность,Взаимоотношения с родителями и сверстниками,"Отец — сильная фигура, морально давил, но не был жесток. В семье ценились справедливость и самостоятельность. Со сверстниками отношения были сложные: одновременно дружила и конфликтовала, проявляла бойкий характер.","Он морально очень может задавить. Словом, ударить можно намного больнее... Я не молчала, если мне что-то очень активно. Кто-то меня побаивался.","принятие, некоторая обида, уважение","справедливость, самостоятельность, честность",Семейная социализация и опыт конфликтов со сверстниками формируют у респондентки устойчивую установку на независимость и внутреннюю силу.,узел,,,,
