id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,"Взрослая жизнь, настоящее время",Семейное положение и работа,"Респонденту 45 лет, он женат, есть дочь 13 лет. Работает в сфере автопрома и снабжения, проживает в городе Дмитровград с населением около 150 тысяч человек.","Мне 45 лет, женат, есть дочка. что еще работаю в сфере автопрома, снабжения.","спокойствие, уверенность","семья, стабильность, профессионализм","Респондент демонстрирует устойчивое положение в жизни: стабильная семья, работа, проживание в среднем по размеру городе. Это типичная ситуация для представителей среднего класса в российских регионах.",декларация,"рынок труда, семья, город Дмитровград",,работает в автопроме и снабжении,
2,"Взрослая жизнь, профессиональный опыт",Опыт участия в опросах и отношение к конфиденциальности,"Респондент уже участвовал в опросах, подчеркивает важность конфиденциальности из-за возможного конфликта интересов с работодателем.","чтобы это не оказалось в общем доступе, чтобы мой работодатель не узнал. конфликт интересов. Обязывался не работать официально на другие организации.","настороженность, осторожность","конфиденциальность, профессиональная этика","Респондент осознает риски, связанные с публичностью данных, и демонстрирует типичную для наемных работников осторожность в вопросах, связанных с работодателем.",декларация,"рынок труда, трудовые отношения",,ограничен обязательствами перед работодателем,
3,Детство,Семья и раннее детство,"Респондент родился в семье служащих и инженера, оба родителя с высшим образованием. Посещал детский сад, родители работали, бабушки и дедушки жили в других городах, виделся с ними летом.","Я родился в семье служащих и инженера одного завода на нашем предприятии. То есть в семье, в которой оба родителя имеют высшее образование.","нейтрально-позитивный, спокойствие","образование, семейные связи, стабильность","Типичная советская семья интеллигентов, ценящих образование. Воспитание в условиях занятости родителей и опоры на государственные институты (детсад).",эпизод,"семья, детский сад, завод",,,
4,Детство и школьные годы,"Переезды, учеба и хобби","В детстве респондент несколько раз менял школы из-за переездов семьи, связанных с улучшением жилищных условий. Занимался бегом, получил первый спортивный разряд, хорошо учился, окончил школу с серебряной медалью.","Дальше была школа, несколько переходов из одной школы в другую, соответственно, в другой класс в связи с переездом из одного района города в другой, потому что родители в процессе жизни работы получили более лучшую жильё с большим метражом.","спокойствие, легкая гордость","образование, развитие, стремление к лучшему",Переезды ради улучшения жилищных условий были характерны для советского и постсоветского времени. Акцент на учебе и спорте отражает ценности семьи.,эпизод,"школа, спорт, жилищная политика",улучшение жилищных условий,,
5,Переход к взрослой жизни,Поступление в вуз и выбор профессии,"После школы поступил в Ульяновский госуниверситет на лингвистику, хотя учился в экономическом классе. Ориентировался на гуманитарные предметы, интересовался иностранными языками и историей.","я все-таки обнаружил себя с полностью именно гуманитарным. к иностранным языкам, к истории. Соответственно, в итоге выбрал себе направление лингвист-переводчик.","уверенность, удовлетворение","самоопределение, образование, интерес к гуманитарным наукам","Выбор гуманитарного образования вопреки экономическим трендам отражает личные интересы и ценности, а также наличие поддержки со стороны семьи.",узел,"университет, система образования",,,
6,Начало профессиональной карьеры,Первые шаги в профессии и переквалификация,"Начал работать переводчиком на промышленных предприятиях, занимался переводом документов для таможни, постепенно переквалифицировался в логиста и специалиста по ВЭД, проходил дополнительные курсы и повышения квалификации.","я начал работать в том числе в сфере ВЭДа и снабжения. Я потребовал дополнительных знаний, дополнительных сертификатов. И чтобы не идти на второй высший, третий высший и так далее, под каждого работодателя я просто старался искать, проходить соответствующие курсы.","рациональность, стремление к развитию","профессионализм, саморазвитие, адаптивность","Переход от гуманитарной профессии к более востребованным на рынке специальностям (логистика, ВЭД) типичен для постсоветского поколения, вынужденного адаптироваться к изменяющимся экономическим условиям.",узел,"рынок труда, система дополнительного образования",,"активное участие, повышение квалификации",
7,Детство,Атмосфера советского детства и семейные отношения,"Воспоминания о советском детстве: родители работали, бабушки и дедушки жили далеко, лето проводил у них. В детсад ходил вынужденно, родители работали по шестидневке. Болел, иногда сидел с няней. Семья была полной, ощущал себя не обделённым.","У меня как бы полная семья, полные родители. Моих родителей, соответственно, были все живы. Да, я периодически. Но они жили все в разных городах, не на территории нашей области. Соответственно, я ездил к ним на лето, так сказать, в летние каникулы.","спокойствие, благодарность","семья, стабильность, забота","Советская модель семьи с работающими родителями и опорой на государственные институты (детсад, няня). Важность семейных связей, несмотря на территориальную разобщённость.",эпизод,"семья, детский сад, няня",,,
8,Детство и подростковый возраст,"Дружба, адаптация и досуг","Отношения со сверстниками складывались по-разному, но в целом мирно. Друзья остались только со старших классов, общение с одноклассниками постепенно сошло на нет. В детстве мечтал о новых игрушках, импортных жвачках, мопеде, компьютере. Увлекался программированием и музыкой на первых приставках.","Дети мечтают о новых игрушках. Когда пошла вот эта перестройка мода на заграничное, мечтали о импортных жвачках. Потом мечтали о мопеде. Потом, когда пошли компьютер-приставки, у меня, кстати, в том числе еще одна сохранилась.","ностальгия, лёгкая грусть","дружба, развитие, интерес к новому","Поколенческий опыт: переход от советских к постсоветским ценностям, появление новых предметов желания (импортные товары, техника).",эпизод,"школа, досуг, потребительский рынок",,"потребитель детских товаров, техники",
9,Детство и подростковый возраст,Трудности и экономические перемены 1990-х,"Переезд был сложным из-за необходимости адаптации в новом коллективе. Экономические трудности 1990-х ощущались в семье: гиперинфляция, рост цен, сокращение подписки на журналы. Кризис был заметен, многие семьи распадались.","Когда раз в три месяца повышались цены, когда была гиперинфляция, и, соответственно, вообще не имело смысла делать каких-то накоплений.","тревога, неуверенность","адаптация, стойкость, семейная поддержка","Опыт экономических потрясений 1990-х формирует установки на осторожность, экономию, ценность стабильности. Влияние макроэкономических процессов на повседневную жизнь детей и подростков.",перелом,"семья, рынок, школа",,"наблюдение за экономикой, косвенное участие",
10,Школьные годы,Учёба и отношения с учителями,"Респондент хорошо учился, особенно по гуманитарным предметам. Отношения с учителями в целом были хорошие, но отмечает строгость и даже грубость некоторых педагогов советской закалки.","Ну, помню просто, что кое-где учителя в такой советской закалке Я просто помню, что они к нам были грубоваты. Могли сказать, что разорались, заткнитесь. Были такие, которые могли кого-то треснуть указкой.","нейтральность, лёгкая критика","уважение к знаниям, дисциплина, самостоятельность",Советская педагогика сочетала требовательность и авторитаризм с уважением к знаниям. Респондент демонстрирует адаптацию к разным стилям преподавания.,эпизод,"школа, система образования",,,
