id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Детство (0-7 лет),"Раннее детство, семья и первые воспоминания","Айгель родилась в Перми зимой, жила с родителями в общежитии. Вспоминает летние каникулы у бабушки и дедушки в деревне, где играла с друзьями и куклами. Детская дружба, завязавшаяся в деревне, сохранилась до сих пор.","Положительное, что я все лето бывала у бабушки с дедушкой. В огороде я играла в куклы, посуды у меня было много детской. С ребятами играли. Вот это вот помню.","Теплота, ностальгия","Семья, дружба, стабильность, привязанность к родным","Типичная для постсоветских семей ситуация, когда родители заняты работой, а воспитанием детей летом занимаются бабушки и дедушки. Сельская социализация и формирование устойчивых дружеских связей.",эпизод,"семья, бабушка и дедушка, деревня",0.0,0.0,
2,Раннее школьное детство (7-11 лет),"Жизнь в Перми, начальная школа и детский сад","Айгель ходила в детский сад в Перми, сначала далеко, потом в тот, где работала мама. Часто болела, поэтому редко посещала садик. В школе была скромной и тихой, но после поездки на море стала более общительной. Вспоминает любимого учителя и положительный опыт обучения.","С 1 по 4 класс я такая тихая была, более скромная... Потом, я помню, ездила на море, мама отправила с работы. Оттуда уже как-то более воодушевленная приехала, и уже потом новые друзья появились после этого периода в пятом классе.","Сдержанная радость, благодарность","Образование, поддержка матери, дружба, развитие","Показательна роль матери, которая устраивается на работу ради устройства дочери в детсад. Социализация через поездки и внешкольные активности. Важность учителя в формировании позитивного отношения к школе.",эпизод,"детский сад, школа, семья",0.0,0.0,
3,Переходный возраст (11-17 лет),"Переезд к бабушке, смена школы и адаптация","После развода родителей Айгель с братом переехала к бабушке в деревню из-за проблем с жильём. Училась сначала в татарской школе, но перевелась в русскую, чтобы не потерять родную речь. В деревне закончила музыкальную школу, общалась с друзьями, но внеклассная жизнь была ограничена.","Только я один год в татарской школе проучилась, потом попросилась перевестись в соседнюю деревню, там автобус возил. Потому что начала понимать, что появляется акцент, я теряю свою речь, которая наработана годами.","Осознанность, лёгкая тревога, самостоятельность","Языковая идентичность, самостоятельность, адаптация, образование",Проблемы с жильём и развод родителей приводят к смене места жительства и опоры на старшее поколение. Важность языковой среды для самоидентификации. Ограниченность досуга в сельской местности.,перелом,"семья, бабушка, школа, музыкальная школа",0.0,0.0,
4,Юность и ранняя взрослость (17+ лет),"Возвращение в Пермь, образование и начало трудовой деятельности","После окончания школы в деревне Айгель возвращается в Пермь, получает образование по банковскому делу, работает в Сбербанке 5 лет. Из-за высокой нагрузки не удаётся закончить высшее образование вовремя. Позже переходит на более интересную должность в другой организации.","Потом в моей жизни и моей мамой появился отчим. Затем я жила у бабушки, потому что с жильем были проблемы... Переехала обратно в Пермь, закончила банковское дело, затем устроилась в Сбербанк, отработала 5 лет. Так как я работала в Сбербанке, не было возможности закончить обучение, потому что это гонка за планами.","Усталость, стремление к развитию, реализм","Образование, профессиональное развитие, самостоятельность","Типичная траектория для молодых женщин из регионов: возвращение в город, получение профессионального образования, ранний выход на рынок труда, сложности совмещения работы и учёбы.",узел,"Сбербанк, образовательные учреждения",0.0,1.0,
5,Взрослая жизнь (настоящее время),Семейное положение и текущая жизненная ситуация,"Айгель живёт с родителями, не замужем, детей нет. Образование неполное высшее, заканчивает в этом году. Работает в другой организации после Сбербанка. Личная жизнь не складывается.",Личная жизнь не складывается.,"Сдержанная грусть, принятие","Самостоятельность, образование, работа","Современная ситуация для молодых женщин: задержка вступления в брак, продолжение образования во взрослом возрасте, проживание с родителями. Отражает тенденции поздней социализации и экономической неопределённости.",декларация,"семья, образовательное учреждение, место работы",0.0,1.0,
1,"детство, ранний подростковый возраст",Трудовой опыт и летние воспоминания,"Респондентка с 14 лет участвовала в оплачиваемых школьных проектах, помогая школе и получая за это зарплату. Вспоминает веселые моменты с подругой, связанные с поездками на велосипеде.","У меня вот трудовой стаж с 14 лет указан... Я одной рукой мороженое держу, одной рукой ее держу. Просто летим на большой скорости. Понятное дело, мы не удерживаемся, падаем. Я прокатилась вот так вот с мороженкой на спине. У меня кровь в крови, но мороженка цела.","ностальгия, радость, легкая ирония","трудолюбие, самостоятельность, дружба, умение радоваться простым вещам","Ранний трудовой опыт характерен для сельских и малых городских сообществ, где подростки часто вовлекаются в работу через школьные или местные проекты. Веселые воспоминания о детстве формируют позитивное отношение к трудностям.",эпизод,"школа, летний трудовой лагерь",,1.0,
2,"старшие классы школы, переход к взрослой жизни",Выбор профессии и образовательной траектории,"Респондентка испытывала трудности с выбором профессии из-за хорошей успеваемости по всем предметам. Рассматривала разные направления, но в итоге выбрала банковское дело и поступила в колледж сразу после школы.","Сначала методом просто исключения, что мне нравится... В итоге посчитала, что я не смогу работать в лесу, потому что я боюсь жуков, змей, и отпала сразу же география.","неуверенность, сомнения, рациональность","самоопределение, прагматизм, стремление к стабильности","Выбор профессии часто определяется не только интересами, но и прагматическими соображениями (уровень дохода, условия труда). Для девушек из малых городов и деревень характерна ориентация на экономические специальности как на более стабильные.",узел,"школа, колледж (среднее профессиональное образование)",,0.0,
3,"молодость, начало профессионального пути",Образование и работа,"После окончания колледжа по специальности банковское дело респондентка пошла работать в банк. Пыталась получить высшее образование по специальности 'Экономика организации', но не смогла совместить учебу и работу, бросила на последнем курсе, сейчас восстанавливается.","Ну я, получается, среднее образование получила профессиональное, а высшее нет... поступала, отучилась 3 года и на последнем курсе.","усталость, разочарование, настойчивость","образование, профессионализм, упорство",Трудности совмещения работы и учебы типичны для молодежи из семей с ограниченными ресурсами. Получение высшего образования рассматривается как способ повысить социальный статус и карьерные перспективы.,узел,"колледж, вуз (Пермь), банк",,1.0,
4,"детство, подростковый возраст",Семейные отношения и развод родителей,"Родители развелись из-за эмоционального абьюза со стороны отца. Респондентка сама попросила маму уйти после инцидента на 1 сентября. После развода жила с мамой, затем переехала к бабушке из-за экономических трудностей.","Потому что, наверное, на 1 сентября пришел в школу пьяным. Можно сказать, опозорил меня и маму. После этого просто сказала, что давай уйдём.","обида, защита, решимость","семейная лояльность, забота о близких, стремление к безопасности",Ранний опыт семейного кризиса и вынужденная самостоятельность формируют у респондента высокую чувствительность к вопросам безопасности и эмоционального комфорта в семье.,перелом,,0.0,,True
5,детство — подростковый возраст,Жилищные условия и экономические трудности семьи,"После развода родителей семья жила в общежитии, затем из-за банкротства собственника была вынуждена переехать к бабушке. Мама работала кассиром, бабушка была на пенсии.","Когда в 2008 году кризис случился, собственник этой общаги обанкротился и всех выгоняли.","неуверенность, тревога, адаптация","выживание, адаптивность, семейная поддержка",Экономические потрясения (кризис 2008 года) напрямую влияют на жилищную стабильность семей с низким доходом. Опыт вынужденных переездов и нестабильности формирует у респондента ценность собственного жилья.,узел,"общежитие, семья, бабушка",0.0,0.0,
