id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,"Вступление в интервью, настоящее время",Текущий статус и согласие на интервью,"Респондент Александр Соколов подтверждает участие в интервью, сообщает о своем возрасте, семейном положении, образовании, месте жительства (Екатеринбург), наличии сына 11 лет, русском языке и национальности.",Я согласен. Спасибо вам большое.,"спокойствие, готовность","открытость, ответственность, готовность к диалогу","Респондент демонстрирует готовность к открытому разговору, подчеркивает важность конфиденциальности и уважения к личным границам. Формальные вопросы помогают установить доверие и контекст.",декларация,"АПИМ (психолог, интервьюер), Росгвардия (служба), семья",0.0,0.0,
2,Детство и юность,"Переезды, семья, влияние матери и бабушки","Александр родился в селе Лагай Кемеровской области, затем с мамой и бабушкой переезжал по разным городам (Чусовой, Чернушка, Оса, Пермь). Отец отсутствовал, воспитанием занимались мама и бабушка. Мама работала на ответственных должностях (прокуратура, МВД, адвокатура), бабушка занималась хозяйством и огородом. Детство прошло в условиях частых переездов и необходимости адаптации.","Отца я не знал, потому что с мамой что-то у них там пошло не так... Мама постоянно работала... В основном все общение и вся жизнь была с бабушкой.","ностальгия, некоторая грусть, благодарность","семья, трудолюбие, адаптация, самостоятельность","Опыт отсутствия отца и частых переездов формирует у респондента адаптивность, самостоятельность и ценность семейных связей. Мама выступает примером трудолюбия и карьерного роста, бабушка — источником эмоциональной поддержки и практических навыков выживания.",эпизод,"семья, школа, огород (как экономическая стратегия)",0.0,0.0,
3,Образование и ранняя карьера,"Выбор профессии под влиянием матери, армия, первые работы","После окончания школы по настоянию матери поступил в зооветеринарный техникум, получил специальность ветеринарного фельдшера. После техникума служил во внутренних войсках, затем работал по специальности в совхозе, который вскоре закрылся из-за экономических трудностей 90-х.","Мама настояла на тот момент, что надо было пойти туда. Ну, решил, так сказать, прислушаться к маме.","покорность, принятие, легкая неуверенность","послушание, уважение к родителям, профессионализм",Выбор профессии под влиянием родителей типичен для постсоветского поколения. Экономические потрясения 90-х вынуждают к гибкости и поиску новых путей.,эпизод,"зооветеринарный техникум, армия, совхоз",0.0,1.0,
4,Профессиональные поиски и предпринимательство,"Смена профессий, частный бизнес, адаптация к рынку","После закрытия совхоза работал инспектором пожарной охраны, затем с товарищем организовал частное охранное предприятие, где занимал руководящие позиции. Бизнес не выдержал конкуренции, пришлось снова искать работу по найму.","Поработав два года, у нас предприятие немножечко обанкротилось ввиду большой конкуренции и тому подобных ситуаций.","разочарование, реализм, настойчивость","инициативность, ответственность, умение работать в команде","Переход от государственной службы к частному бизнесу и обратно отражает типичный путь людей, столкнувшихся с нестабильностью рынка в постсоветской России.",узел,"пожарная охрана, частное охранное предприятие",0.0,1.0,
5,Профессиональное становление,Работа в ИТ и крупных компаниях,"С 2002 года работал системным администратором на хлебокомбинате, затем в крупной компании Корпус Групп, занимавшейся общественным питанием. Параллельно с женой начал туристический бизнес, который просуществовал до экономического кризиса 2013-2014 годов.","В то время была специальность востребована, потому что на тот период времени в компьютеры только-только начали входить в нашу жизнь.","гордость, интерес, уверенность","профессионализм, инновации, семейное партнерство","Респондент осваивает новые востребованные профессии, демонстрирует гибкость и способность к обучению. Попытка семейного бизнеса — пример поиска стабильности и самостоятельности.",эпизод,"хлебокомбинат, Корпус Групп, туристическое агентство",0.0,1.0,
6,Кризисы и новые старты,"Закрытие бизнеса, возвращение в государственную службу","Из-за экономических потрясений и недобросовестности туроператоров пришлось закрыть туристический бизнес. Александр возвращается на государственную службу — начальником пожарной части, затем переезжает в Екатеринбург и работает в МЧС.","В 2014 году я вновь ушел работать наемным работником, вновь шел в пожарную охрану.","усталость, прагматизм, принятие","стабильность, ответственность, служение","Кризисы в малом бизнесе подталкивают к возвращению в государственный сектор, который воспринимается как более стабильный и предсказуемый.",перелом,"пожарная часть, МЧС",0.0,0.0,
7,Современный этап,"Военная служба, участие в СВО","С 2023 года Александр заключил контракт с Росгвардией, участвует в специальной военной операции, в том числе в боевых действиях по охране границы. Сейчас находится в отпуске, служит в Мариуполе.",С августа 2023 года заключил контракт с Росгвардией. Сейчас в главный момент в подразделении Росгвардии прохожу военную службу.,"гордость, серьезность, чувство долга","патриотизм, служение, мужество","Участие в СВО становится важной частью идентичности респондента, подчеркивается героический и служебный аспект, что находит отклик у интервьюера.",узел,"Росгвардия, военная служба",0.0,0.0,
8,Рефлексия о детстве,"Адаптация, отношения с семьей и сверстниками","Детство Александра было насыщено переездами, что требовало постоянной адаптации к новым условиям, новым друзьям. Основное общение было с бабушкой, мама была строгой и занята работой. Со сверстниками отношения складывались нормально, несмотря на обычные детские конфликты.",Поэтому приходилось приспосабливаться уже по месту.,"спокойствие, принятие, легкая грусть","адаптация, коммуникация, семейная поддержка","Опыт частых переездов формирует у респондента навыки социальной адаптации и коммуникации, а также ценность семейной поддержки.",эпизод,"семья, школа",0.0,0.0,
9,Рефлексия о поколениях,"Сравнение детства и современности, цифровизация","Александр отмечает разницу между своим детством и детством сына: раньше дети больше времени проводили на улице, сейчас — в виртуальной реальности. Он осознает невозможность полностью ограничить ребенка от цифровой среды, чтобы не лишить его социальной интеграции.","Запретишь ему... А он не будет, так сказать, в тренде современном. И это уже как бы в обществе уже нехорошо.","реализм, легкая тревога, принятие","адаптация, понимание изменений, забота о ребенке","Респондент демонстрирует осознанное отношение к изменениям в обществе и воспитании, признает влияние цифровизации на социализацию детей.",декларация,"семья, школа, цифровые платформы",0.0,0.0,
10,Рефлексия о детских радостях,Материальные ограничения и радости детства,"В детстве радость приносили простые вещи — конфеты, игрушки, которые были в дефиците. В маленьких городах ассортимент был ограничен, и даже небольшие покупки были значимы.","Иногда и конфетка радовала, какая-то там шоколадная куплена. Потому что в то время же, сами понимаете, в маленьком городе сложно было вообще что-либо купить.","ностальгия, благодарность, легкая грусть","скромность, умение радоваться малому, благодарность","Опыт материальных ограничений формирует у респондента умение ценить малое и радоваться простым вещам, что контрастирует с современным изобилием.",эпизод,"семья, локальное сообщество",0.0,0.0,
