id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Взрослая жизнь (настоящее время),Текущая профессиональная и личная ситуация,"Марина проживает в Саратове, работает онлайн преподавателем и переводчиком, замужем второй раз, детей нет. Занимается спортом, любит гулять и путешествовать.","Я везде парт-тайм работаю. Частичная занятость. В языковом центре, получается, и вот на себя с клиентами. Вот так с английским языком, в принципе, работаю. С французским, с английским, с ивритом ещё. Тоже интересно.","спокойствие, удовлетворение, лёгкая адаптация","самостоятельность, свобода, профессиональное развитие, физическая активность","Респондентка демонстрирует гибкость и адаптивность к новым условиям, ценит независимость и возможность работать на себя. Отмечается тенденция к частичной занятости и самозанятости, что характерно для современных мобильных специалистов.",эпизод,"языковой центр, рынок онлайн-образования",0.0,"частичная занятость, самозанятость",
2,Детство и юность,"Семья, этническая идентичность и раннее развитие","Марина родилась в Нижнем Новгороде, росла с родителями и старшей сестрой. С ранних лет занималась английским, музыкой, пением. Испытывала трудности в детском саду и школе, предпочитала общение во дворе.","В садик не ходила, потому что там дралась, проблемы были, и меня забрали оттуда. ... Люблю очень петь с детства и учать английский у меня с детства идёт, вот с пяти-шести лет.","ностальгия, лёгкая грусть, самостоятельность","самостоятельность, творчество, дружба, обучение","Раннее развитие самостоятельности и творческих способностей, а также опыт социальной изоляции в формальных институтах (сад, школа) компенсируется неформальным общением во дворе и в лагерях.",эпизод,"школа, двор, семья",0.0,,
3,Юность и взросление,Образование и профессиональное становление,"Марина окончила английскую гимназию, затем поступила в ННГУ на международные отношения. Училась на платном отделении, изучала английский и французский. После института работала переводчиком, затем в колл-центре и в Pony Express.","Думала, журналистика, ИНЯЗ. Но бесплатно, к сожалению, не прошла. И училась на платном 5 лет. ... После института два года проработала. ... Потом попала под сокращение.","решимость, интерес, лёгкая неуверенность","образование, профессионализм, языковая компетентность",Выбор гуманитарного образования и языковой специализации определяет дальнейшую мобильность и профессиональную траекторию. Опыт работы в разных сферах формирует гибкость и готовность к переменам.,эпизод,"ННГУ, завод, колл-центр, Pony Express",,наёмный труд,
4,Молодость (22 года),Эмиграция и адаптация в Израиле,"В 22 года Марина переехала в Израиль по настоянию родителей. Быстро оформила документы, не испытывала страха. Училась в ульпане, вышла замуж, работала сначала в гостиницах, затем в финансовой компании, где прошла путь от колл-центра до аккаунт-менеджера.","Ничего не боялась, не знаю, как танк. Я поняла, что в Израиле такие люди, все смелые, независимые. Как танк. Там или ты, или тебя, как говорят.","уверенность, смелость, самостоятельность","независимость, профессиональный рост, адаптивность",Переезд в другую страну в молодом возрасте свидетельствует о высокой мобильности и самостоятельности. Быстрая адаптация и профессиональный рост в новой среде указывают на наличие социальных и культурных компетенций.,перелом,"программа репатриации, ульпан, финансовая компания",0.0,"наёмный труд, эмигрантский рынок труда",
5,Взрослая жизнь (Израиль),Личная жизнь и причины возвращения в Россию,"В Израиле Марина вышла замуж, развелась через 4 года, жила одна, работала, наслаждалась морем, но не выдержала постоянных военных угроз. После отпуска в России решила остаться и вышла замуж второй раз.","Меня не выдержала психика вот этих ракетных обстрелов. Ну, часто. И когда мой дом чуть не взорвали там, где я жила, я поняла, что уже надо или уезжать, или что-то менять страну, двигаться куда-то дальше.","тревога, усталость, решимость","безопасность, стабильность, личное счастье","Опыт жизни в зоне военного конфликта становится фактором, определяющим миграционные решения. Личная безопасность и эмоциональное благополучие выходят на первый план.",перелом,"рынок аренды жилья, израильское общество",0.0,,
6,Детство,Семейные отношения и влияние старших,"Марина росла с родителями и старшей сестрой, отношения с сестрой были конфликтными, с родителями — ровные, с бабушкой — близкие. Дедушка учил ценить деньги, что повлияло на финансовое поведение.","Дедушка меня учил деньги считать. И научил меня как-то цену деньгам знать. Даже если в твоей жизни там появится 5 копеек, все равно радуйся, это любые деньги.","благодарность, лёгкая дистанция","семья, финансовая грамотность, самостоятельность",Влияние старших членов семьи формирует установки по отношению к деньгам и самостоятельности. Конфликтные отношения с сестрой и дистанция с родителями компенсируются близостью с бабушкой.,узел,семья,,,
7,Детство и подростковый возраст,Дружба и социальные связи,"Основные друзья появлялись во дворе, в лагере и институте. С некоторыми дружит более 20 лет, поддерживает связь даже после переезда.","Одна соседка, которая там жила в новом районе, где я переехала. Вторая, мы с ней в лагере познакомились. До сих пор дружба. Уже больше 20 лет.","тёплое воспоминание, стабильность","дружба, лояльность, поддержка","Долгосрочные дружеские связи формируются в неформальных институтах (двор, лагерь) и сохраняются несмотря на миграции, что говорит о высокой социальной компетентности.",эпизод,"двор, лагерь, институт",,,
8,Детство,Мечты и радости детства,"Марина мечтала о море, любила лагеря и самостоятельные поездки. Мечта о море сбылась только во взрослом возрасте.",На море всегда мечтала поехать. Лагеря любила. Одна любила ездить без родителей. Про море не сбылась мечта в детстве. Они так и не свозили меня.,"мечтательность, лёгкая грусть","самостоятельность, путешествия, новые впечатления","Нереализованные детские мечты становятся мотиваторами для самостоятельных решений во взрослом возрасте (путешествия, эмиграция).",декларация,,,,
9,Детство и подростковый возраст,Формирование самостоятельности и трудовой этики,"С раннего возраста Марина приучалась к самостоятельности: помогала по дому, работала с 14 лет, ценила возможность зарабатывать свои деньги.","Меня с детства приучали к самостоятельности. Я маме с детства готовить помогала, когда мне 6 лет было. ... Я с 14 лет уже подрабатывала. У меня мама на выборы устраивала работать. И мне нравилось, что у меня свои деньги.","гордость, уверенность","самостоятельность, трудолюбие, финансовая независимость",Ранняя социализация через труд и домашние обязанности способствует формированию самостоятельности и финансовой ответственности.,узел,,,ранняя трудовая социализация,
10,Школьные годы,Учёба и отношения в школе,"Марина предпочитала гуманитарные предметы, испытывала трудности с точными науками. В английской школе столкнулась с буллингом и вымогательством, что привело к смене школы.","У меня была такая проблема психологическая в школе. Думаю, расскажу. У меня было в английской школе, что у меня в классе деньги вымогали. Я была как лохушка их в классе. Со мной никто не общался, очень мало кто. ... И потом я перешла в другой школу после восьмого класса.","обида, уязвимость, решимость","справедливость, самоуважение, стремление к лучшему окружению","Опыт буллинга и социальной изоляции в школе становится травматичным, но приводит к активному поиску более комфортной среды и самостоятельному принятию решений.",перелом,школа,,,
1,детство и школьные годы,школьные трудности и семейная поддержка,"Респондентка сталкивалась с проблемами в школе, что привело к смене учебного заведения. Родители заметили изменения в поведении и приняли меры.","То есть это было связано, что родители увидели, что такая ситуация в школе, такое отношение, и поэтому у вас увидели, что дома начали деньги пропадать, то, что у меня выбора не было.","напряжение, тревога, уязвимость","семья, поддержка, честность",Ситуация отражает типичный для подростков кризис идентичности и поиск поддержки в семье при столкновении с буллингом или сложностями в коллективе.,эпизод,школа,,,
2,"молодость, ранняя взрослость",образование и профессиональное самоопределение,"Респондентка получила высшее образование, затем прошла дополнительные курсы по коучингу, английскому языку и тренерству. Эти знания помогли ей в профессиональной деятельности и личностном развитии.","У меня был по коучингу образование, коучинг-психолог есть... И ещё сертификат по английскому языку, TOEFL международный... удостоверение тренера учиру.","гордость, удовлетворение","саморазвитие, образование, профессионализм","Показательна ориентация на непрерывное образование и освоение новых компетенций, что характерно для современных мобильных специалистов.",узел,"вуз, курсы, онлайн-образование",,,
3,"взрослая жизнь, профессиональный поиск",мотивация к обучению коучингу и личностный рост,"Причиной обращения к коучингу стали личные трудности в отношениях. Обучение помогло лучше понять себя и других, освоить психологические практики.","Я увидела в Инстаграме блогера... И я подумала, что даже если не получится работать, мне полезно будет себя исследовать.","интерес, надежда, рефлексия","самопознание, психологическая устойчивость","Личный кризис становится триггером для профессионального и личностного развития, что типично для современных карьерных траекторий.",перелом,,,образовательные услуги,
4,"взрослая жизнь, профессиональный поиск",практики самопознания и психологическая работа,"Респондентка описывает значимость психологических практик, работы с тенью, внутренним ребенком, йоги и медитации для личного роста и преодоления детских травм.","Когда принимаешь свои теневые стороны... Потом встреча с внутренним ребёнком помогла, и йога очень помогла, йога, медитация.","благодарность, спокойствие","осознанность, гармония, внутренний рост",Распространение практик самопомощи и психотерапии как части современной культуры заботы о себе.,эпизод,,,,
5,начало профессиональной карьеры,разочарование в специальности и смена профессионального пути,"После окончания вуза респондентка не смогла реализоваться по специальности дипломата из-за отсутствия связей и финансовых возможностей, что привело к смене профессионального направления.","Хотелось очень в Москву поехать, попробовать МИД. Я тоже поняла, что малого шансов там прорваться. По сути, не попробовала и очень жалею.","разочарование, сожаление, принятие","амбиции, независимость, реализм",Проблема социального капитала и неравного доступа к престижным профессиям в России.,перелом,"МИД, вуз",не реализовано,,
6,"эмиграция, профессиональная реализация за рубежом",работа в международной компании в Израиле,"Работа в иностранной компании в Израиле принесла удовлетворение благодаря мультикультурной среде, интересным задачам и корпоративным традициям.","В Израиле, где я работала, потому что это была иностранная компания, там было много культур разных... У меня было такое чувство, что как будто я внутри стран этих путешествовал.","удовлетворение, ностальгия","открытость, разнообразие, профессионализм","Эмиграция открывает новые профессиональные возможности, но также сопряжена с рисками потери работы из-за политических обстоятельств.",эпизод,международная компания,,трудовой рынок Израиля,
7,замужество и семейная жизнь,брак с представителем другой культуры и развод,"Брак с грузинским евреем сопровождался культурными и личностными конфликтами, попытками ЭКО, и завершился разводом по инициативе респондентки.","Я не могла сидеть дома, я не могу без работы... Самое моё любимое — это свобода. Я не могу без свободы. Наверное, деньги и свобода.","фрустрация, решимость, освобождение","свобода, независимость, самореализация",Культурные различия и гендерные роли становятся источником напряжения в браке мигрантов.,перелом,"семья, ЭКО-клиника",,,
8,"постразводный период, новые отношения",отношения с одноклассником и опыт личной свободы,"После развода респондентка начала отношения с одноклассником, которые помогли ей пережить разрыв, но завершились из-за криминальных проблем партнера.","Я просто с ним сбежала... Несмотря на то, что он проблемный был человек, траву курил, и с криминалом был связан, но всё равно.","азарт, освобождение, разочарование","эмоциональная близость, приключения, самостоятельность","Период после развода часто сопровождается поиском новых идентичностей и отношений, иногда рискованных.",эпизод,,арендованное жильё,,
9,эмиграция и адаптация,опыт переезда и экстремальные жизненные ситуации,"Переезд в другую страну сначала не оправдал ожиданий, но стал источником нового опыта и уверенности в себе. Были периоды бездомности и проживания на улице.","Были, когда мне было негде жить в Израиле. И было такое, что я на улице несколько дней спала.","стресс, страх, гордость за преодоление","стойкость, смелость, самостоятельность","Миграция сопряжена с рисками социальной уязвимости, но также способствует формированию устойчивости и самостоятельности.",экстремальный эпизод,,отсутствие жилья,"рынок аренды жилья, социальная поддержка",
10,семейные и родственные связи,"отношения с родителями, сестрой и родственниками","Родители и сестра принимали участие в жизни респондентки, но были разногласия по поводу брака и развода. Особая близость сложилась с двоюродной сестрой.","Мне кажется, она мне была ближе, чем родная сестра. Я тогда у неё жила тоже, когда мне было негде жить.","благодарность, тепло, независимость","семья, поддержка, самостоятельность","Семейные и родственные связи играют важную роль в периоды кризиса, особенно в миграционном контексте.",узел,"семья, расширенная семья",,,
1,Период после развода и переезда,"Развод, побег с одноклассником, финансовые трудности","После развода с мужем респондентка уехала с одноклассником, несколько дней жила в отеле, столкнулась с финансовыми трудностями из-за потери денег, была вынуждена искать жильё и работу.","Это было, когда я с мужем развелась и с этим парнем одноклассником сбежала. Мы там три дня в отеле, получается, пожили. Потом... Работа-то у меня в центре страны была, а он жил на севере. Ездить далеко было очень. Еще так получилось, что у меня деньги украли все.","стресс, растерянность, решимость","самостоятельность, честность, справедливость","Ситуация иллюстрирует уязвимость женщин после развода, необходимость самостоятельного решения бытовых и финансовых вопросов, а также отсутствие поддержки со стороны нового партнёра.",перелом,,False,"активный поиск работы, аренда жилья",True
2,"Преодоление кризиса, поиск опоры","Реакция на стресс, самостоятельность, вера","В условиях безденежья и отсутствия жилья респондентка не обращалась за помощью к близким, полагаясь на себя и свою веру. Она отмечает, что научилась справляться со стрессом рационально, без истерик.",Я привыкла просто на себя рассчитывать. Меня так в детстве научили. Рассчитывай только на себя.,"спокойствие, внутренняя сила","самостоятельность, вера, стойкость","Демонстрируется типичная для постсоветского пространства установка на самостоятельность и недоверие к внешней поддержке, а также роль религии как внутреннего ресурса.",декларация,религия (православие),,,False
3,"Молодость, формирование отношений","Знакомство с первым мужем, еврейские семинары","В 20 лет респондентка познакомилась с первым мужем на еврейском семинаре, их отношения начались после его разрыва с её подругой. Позже они поженились.",На одном из таких семинаров мы случайно познакомились с первым мужем. Он тогда встречался с моей лучшей подругой.,"любопытство, лёгкая ревность, интерес","открытость к новому, дружба, судьба",Еврейские общины и их мероприятия выступают пространством для формирования социальных и брачных связей среди молодежи.,эпизод,еврейская община,,,False
4,"Переезд в Израиль, первый брак","Жизнь в Израиле, семейные кризисы, измена","После переезда в Израиль респондентка выходит замуж, но вскоре сталкивается с изменой и двойной жизнью мужа, что приводит к разрыву и депрессии.","Я узнаю это на помолвке вообще на нашей. Что он живет с другой девушкой. Конечно, я тогда была злая, хотела там убить всех.","гнев, обида, разочарование","верность, честность, самоуважение","Проблемы миграции и интеграции в новой стране усугубляются личными кризисами, что приводит к эмоциональным потрясениям и поиску новых отношений.",перелом,"миграция, брак",,,True
5,"Период после разрыва, новые отношения","Жизнь с новым партнёром, финансовые и бытовые трудности","После разрыва с первым мужем респондентка начинает жить с новым партнёром, отношения с которым осложняются его финансовыми проблемами и игровой зависимостью.","Потом он делал панкротство себе, и все, начались проблемы с деньгами, начались игры компьютерные у него. зависимость от игр.","разочарование, усталость","стабильность, самостоятельность","Женщина сталкивается с типичной для мигрантов ситуацией: отсутствие поддержки, необходимость самой обеспечивать быт, партнёрская несостоятельность.",узел,,,"совместное проживание, финансовая поддержка партнёра",False
6,"Возвращение в Россию, второй брак","Рациональный выбор, новый брак, отношения с семьёй мужа","После возвращения в Россию респондентка вступает во второй брак, основываясь на рациональных соображениях и поддержке со стороны семьи мужа.","Я просто решила выйти замуж без привязанности. Без того, что я привязываюсь к какому-то мужчине. Просто потому что вроде как лучше, чем одной.","спокойствие, принятие","комфорт, поддержка, рациональность","Брак воспринимается как социальная и экономическая стратегия, а не только как результат романтических чувств. Большое значение придаётся поддержке семьи супруга.",узел,"брак, семья",True,,False
7,Современный этап жизни,"Семейные традиции, дача, отношения с семьёй мужа","Респондентка ценит семейные традиции, отдых на даче, хорошие отношения с семьёй мужа, отмечает их искренность и гостеприимство.","Я очень люблю нашу дачу. Один раз, я помню, ещё до брака он меня давно туда привозил. Мы уже давно знакомы. И там что-то мы в домике тогда сидели, он мне говорил, этот дом будет только наш.","умиротворение, благодарность","семья, природа, искренность","Дача и семейные традиции выступают символом стабильности и уюта, а хорошие отношения с семьёй мужа компенсируют недостаток поддержки в прошлом.",эпизод,"семья, дача",,,False
8,Современный этап жизни,Отношения с родителями и семьёй супруга,"Респондентка отмечает, что ближе по духу и возрасту к родителям мужа, чем к своим, ценит их доброту и современность.","Родители мужа меня лучше понимают, мне кажется, потому что мы по возрасту ближе. Они по-другому на жизнь смотрят. Они более такие современные.","признательность, тепло","понимание, доброта, гостеприимство","Поколенческие различия влияют на выбор круга общения и степень эмоциональной близости, что характерно для семей с разным возрастом родителей.",декларация,семья супруга,,,False
9,Современный этап жизни,Религия и духовные практики,"Респондентка сохраняет связь с православием, но посещает церковь нерегулярно, обращается к молитве в трудные моменты.","Просто, знаете, иногда, когда она нахлынет, я иду. Там послушаю, посижу, свечку поставлю, сама помолюсь и всё.","спокойствие, умиротворение","духовность, традиция","Религия выполняет функцию эмоциональной поддержки, но не является институционализированной практикой в повседневной жизни.",декларация,православная церковь,,,False
10,Современный этап жизни,"Работа, профессиональная идентичность","Респондентка работает онлайн с детьми, придерживается принципа ответственности учеников за свои успехи, не берет на себя их проблемы.","Я всегда говорю ученикам, что это их ответственность. Делать задание, не делать. Я один-два раза скажу, я больше не повторяю.","уравновешенность, профессионализм","ответственность, самостоятельность, границы",Позиция педагога отражает современные подходы к воспитанию ответственности у детей и дистанцирование от гиперопеки.,декларация,образование,,онлайн-работа,False
1,"Взрослая жизнь, эмиграция и частые переезды",Страсть к путешествиям и переездам,"Респондентка отмечает свою любовь к переменам мест, часто переезжала в Израиле, сейчас сталкивается с необходимостью сменить офис и обсуждает возможный переезд в Москву с мужем.","Наверное, может, мое страсть к путешествиям. То, что я люблю место на место переезжать. Я в Израиль очень много переезжала.","легкая грусть, принятие, внутренняя динамика","открытость к переменам, самостоятельность, адаптивность","Частые переезды и мобильность — характерная черта современных профессионалов, особенно среди женщин, работающих онлайн. Важна способность адаптироваться к новым условиям и сохранять профессиональные связи.",декларация,"рынок аренды недвижимости, неформальные связи (офис через знакомых)",False,True,
2,"Настоящее, профессиональная деятельность",Работа и профессиональная идентичность,"Респондентка работает онлайн, арендует офис, имеет стабильных клиентов, не готова к резкой смене места работы из-за привязанности к текущему месту и клиентской базе.","Я здесь всё равно прижилась. У меня будет здесь определённые клиенты. Я, наверное, пока не готова куда-то ещё потом переезжать.","уверенность, спокойствие","стабильность, профессионализм, ответственность",Профессиональная идентичность формируется вокруг клиентской базы и привычного рабочего пространства. Даже при высокой мобильности сохраняется стремление к стабильности.,узел,"рынок труда, рынок аренды",,True,
3,Опыт жизни за границей,Жизнь в Израиле и ограничения на возвращение,"Респондентка скучает по морю и набережной в Израиле, но не может вернуться из-за финансовых и бюрократических ограничений, связанных с социальным страхованием.","Там определённые проблемы есть, я сейчас туда не могу въехать. Точнее, если я въеду, я потом не выйду оттуда.","ностальгия, сожаление","честность, справедливость, финансовая независимость","Бюрократические барьеры и финансовые обязательства могут стать серьезным препятствием для возвращения мигрантов на родину, даже при наличии эмоциональной привязанности.",перелом,социальное страхование Израиля,,False,
4,Путешествия и культурный опыт,Любимые страны и впечатления от путешествий,"Респондентка путешествовала по Европе и странам Кавказа, особенно выделяет Армению и Грузию за их колорит, горы и гостеприимство местных жителей.","Армения, Грузия – мои любимые страны. Но я все еще мечтаю в Индонезию на Бали попасть.","вдохновение, воодушевление","открытость миру, любознательность, ценность природы и человеческих отношений","Путешествия формируют культурную открытость и расширяют представления о гостеприимстве, межкультурных различиях и личных предпочтениях.",эпизод,,,True,
