id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Детство и школьные годы,"Жизнь в небольшом поселке, семейное воспитание, учеба","Респондентка выросла в небольшом поселке в Приморском крае. Детство запомнилось трудным: много обязанностей по дому и на даче, строгие и требовательные родители, мало свободного времени и развлечений. Училась хорошо, но больше по требованию родителей, чем по собственному желанию. Испытывала чувство ограниченности и некоторой ущербности из-за материальных условий и контроля со стороны родителей. Яркие воспоминания связаны с поездками к бабушкам, где было больше свободы и радости.","Детство было, конечно... Все желания не удовлетворялись полностью. Всегда хотелось конфеток, шоколадок. Родители не богатые... В основном ощущение какой-то ущербности в стольной степени было.","Сдержанная грусть, ностальгия, некоторая обида","Семья, трудолюбие, образование, стремление к свободе","Опыт детства в малом населенном пункте с ограниченными ресурсами и строгим семейным контролем типичен для многих российских семей. Воспитание через труд и учебу, ограничение личных желаний и материальных благ формируют у респондента амбивалентное отношение к родителям и стремление к самостоятельности.",эпизод,"школа, семья",0.0,0.0,
2,Старшие классы школы,"Первые успехи, формирование амбиций, участие в олимпиадах и конференциях","В старших классах респондентка начала участвовать в олимпиадах и конференциях, что дало ей уверенность в собственных силах и желание уехать в город. Победы на конкурсах, поездки в Москву и другие города стали важными событиями, позволившими поверить в свои возможности и задуматься о будущем вне поселка, несмотря на ожидания родителей.","Для меня это было очень значимо, что потенциал есть. И зарывать его только в своем поселке тоже смысла никакого нет.","Воодушевление, гордость, надежда","Самореализация, образование, независимость","Участие в олимпиадах и конференциях становится для респондента социальным лифтом, открывающим новые горизонты и формирующим установку на мобильность. Это типичный путь для мотивированных подростков из провинции, ищущих возможности для выхода за пределы ограниченного социального круга.",узел,"школа, внешкольные мероприятия",0.0,0.0,
3,Поступление и студенчество,"Выбор университета, самостоятельность, активная студенческая жизнь","Респондентка рассматривала разные города и направления для поступления, но в итоге осталась во Владивостоке, вопреки ожиданиям родителей. Студенчество стало для нее периодом максимальной самостоятельности, активной общественной и научной деятельности, новых знакомств и личностного роста. Она училась на биологическом факультете, участвовала в конференциях, получила водительские права, защитила второй диплом, поступила в аспирантуру.","Когда в Владивостоке начала жить одна, прям вкус свободы... В студенчестве самый активный был, наверное, период, когда можно было все попробовать.","Энтузиазм, радость, чувство свободы","Самостоятельность, развитие, активность, образование","Студенчество воспринимается как время личной свободы и самореализации, особенно для девушек из провинции. Выбор города и специальности становится актом эмансипации от родительских ожиданий. Активное участие в общественной и научной жизни свидетельствует о высоком уровне социальной мобильности.",эпизод,"университет, студенческие организации",0.0,1.0,
4,"Начало взрослой жизни, первые отношения и профессиональные испытания","Личные отношения, разрыв, депрессия, смена профессионального пути","После окончания университета респондентка начала жить с первым гражданским мужем, занималась наукой и преподаванием. Разрыв отношений стал тяжелым переломным моментом, вызвавшим депрессию и отказ от научной карьеры, несмотря на написанную диссертацию и приглашения вернуться. Смерть научного руководителя усугубила кризис. В этот период она работала на низкоквалифицированных работах, постепенно восстанавливалась и искала новые профессиональные пути.","Ну, в общем, как старуха с разбитым корытом... Ну, осталось после отношений.","Грусть, разочарование, апатия, затем постепенное восстановление","Преодоление трудностей, поиск себя, независимость","Личный кризис после разрыва отношений и утраты профессионального наставника типичен для молодых женщин, чья идентичность была связана с партнером и профессией. Временный уход на низкоквалифицированные работы — способ выживания и поиска новых опор.",перелом,"семья, университет, рынок труда",0.0,1.0,
5,Восстановление и профессиональный поиск,"Поиск работы, возвращение к активности, новые профессиональные роли","Постепенно респондентка восстанавливается после кризиса, пробует себя в разных сферах: работает администратором, затем по совету начальника идет работать в школу, помогает в управлении процессами, проявляет инициативу и активность. Научную карьеру восстановить не удалось, но реализует себя в других сферах.","Видимо, вот эта вот инициативность, активность, она все равно в той или иной степени реализуется.","Уверенность, удовлетворение, принятие","Инициативность, профессиональная самореализация, помощь другим","Профессиональная гибкость и готовность осваивать новые роли характерны для женщин, переживших личный кризис. Важно наличие поддерживающих фигур (начальник, коллеги), которые способствуют возвращению к активной жизни.",эпизод,"школа, бизнес-структуры",0.0,1.0,
6,"Настоящее, новые отношения и осознанность","Личная жизнь, новые отношения, поддержка и взаимное развитие","После восстановления респондентка встретила нового гражданского супруга, с которым отношения более осознанные и поддерживающие. Она реализует свои интересы, получает поддержку и сама поддерживает партнера. Отмечает важность выбора правильного человека для гармоничной жизни.","Сейчас я занимаюсь тем, что мне интересно, нахожу поддержку у своего нынешнего супруга в своих начинаниях, проектах и его стараюсь тоже поддерживать.","Удовлетворение, спокойствие, благодарность","Партнерство, поддержка, личная свобода, гармония","Переход к более зрелым и осознанным отношениям после травматичного опыта — важный этап взросления. Взаимная поддержка и уважение становятся ключевыми ценностями, что отражает современные тенденции в партнерских отношениях.",узел,"семья, партнерство",0.0,0.0,
7,Семейные связи и влияние на сестру,"Взаимоотношения с сестрой, влияние на выбор профессии","Респондентка отмечает, что ее успехи и интерес к биологии повлияли на выбор сестры, которая также поступила на биологический факультет, но в другой университет. Жизненные пути сестер разошлись, но обе реализовали себя в науке и образовании. Сестра впоследствии переехала в другой город и устроила личную жизнь.","Сестру, на самом деле, я когда она училась в школе, каким-то образом, хотя непонятно почему, так вовлекла в биологию, что она тоже пошла на биологический факультет.","Гордость, теплота","Семейные связи, наставничество, образование",Влияние старших братьев и сестер на образовательные и профессиональные траектории младших — распространенное явление в российских семьях. Семейные традиции и примеры играют важную роль в выборе жизненного пути.,эпизод,"семья, университет",0.0,0.0,
1,"Детство (ранние годы, до школы и начальная школа)",Семейная жизнь и воспитание,"Респондентка жила в одной квартире с родителями, сестрой и бабушкой. Воспитание было достаточно жёстким, особенно со стороны отца, применялись физические наказания, были высокие требования к занятиям и развитию. Бабушка давала больше свободы и самостоятельности.","Вторая бабушка жила с родителями, то есть мы жили мама, папа, я, сестра и бабушка. Все в одной квартире... она была более такая, ну, короче, свободу мне больше давала, ну, как бы старалась, самостоятельность, что ли, вот так.","Смешанные чувства: ностальгия, некоторая обида, благодарность","Семья, самостоятельность, дисциплина, развитие","Семейная структура типична для постсоветского пространства 90-х: несколько поколений в одной квартире, высокая роль бабушки, жёсткие методы воспитания, акцент на развитии через кружки.",эпизод,"семья, школа, кружки",0.0,,
2,Детство (младший школьный возраст),Травматичные и значимые события детства,"Смерть дедушки, рождение сестры, эпизод с наказанием за стрижку сестры — все эти события оставили эмоциональный след. Воспитание воспринимается как травматичное, но были и позитивные моменты, связанные с отпуском и семейными поездками.","В результате папа так разозлился, что он повел меня в туалет и все, короче, мне срезал волосы, ну, как бы так, комками... То есть больше, ну, такое, травматичное детство, скажем так.","Боль, обида, некоторая рефлексия","Справедливость, поддержка, эмоциональная безопасность","Травматичные эпизоды в детстве часто формируют отношение к себе и к родителям, а также влияют на самооценку и способы взаимодействия с миром.",узел,семья,0.0,,
3,Детство и подростковый возраст,Семейные ценности и отношения,"Несмотря на жёсткое воспитание, респондентка отмечает взаимопонимание между родителями, их умение договариваться и поддерживать друг друга. Внутри семьи ощущалась поддержка и опора, особенно в сложных ситуациях.","Мне нравилось между родителями их взаимопонимание, в принципе, и что они всегда шли на компромиссы, как бы не ругались, а как бы, ну, нормально все обсуждали...","Тёплое воспоминание, благодарность","Взаимопонимание, поддержка, семейная сплочённость","Даже при наличии жёстких методов воспитания, ценность семейной поддержки и компромисса оказывается ключевой для респондента.",декларация,семья,,,
