id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Раннее детство (0-7 лет),"Семья, переезд и адаптация","Респондент родился в Армении, в возрасте одного года переехал с семьей в Москву. Вспоминает раннее детство как счастливое, полное любви и заботы, с хорошими отношениями с родителями и родственниками.","Я здесь вырос и живу, да, то есть живу с семьей. Родители, младший брат, старший сын, там все вместе.","Тепло, спокойствие, удовлетворение","Семья, безопасность, забота","Переезд в раннем возрасте и успешная адаптация в новой среде формируют у респондента чувство принадлежности к семье и стабильности, несмотря на смену страны и культурного контекста.",эпизод,"семья, детский сад",1.0,,
2,Детство (7-11 лет),"Появление брата, внутрисемейные конфликты и первые тревоги","Семейная динамика изменилась после рождения младшего брата, что совпало с усилением внутрисемейных конфликтов и переездом. Это стало триггером для появления тревожности и закрытости у респондента.","В возрасте 7 лет у меня родился брат родной... Внутрисемейные конфликты участились... И начиная с 7 лет у меня как-то тревожные состояния участились из-за того, что дома проблемы были.","Тревога, неуверенность, замкнутость","Признание, стабильность, любовь","Появление нового члена семьи и конфликты между взрослыми часто становятся источником стресса для детей, что может приводить к формированию тревожных черт и снижению доверия к близким.",перелом,семья,0.0,,
3,Младший школьный возраст (7-11 лет),"Школа, успехи и первые трудности социализации","Респондент хорошо учился, был способным учеником, но испытывал трудности в отношениях со сверстниками из-за внешности и отсутствия признания. Начались проблемы с самооценкой и первые проявления буллинга.","Я был толстенький, не мог защищаться... очень сильно отпечаток на мне оставило.","Обида, неуверенность, одиночество","Признание, дружба, саморазвитие",Проблемы социализации и буллинг в младшем школьном возрасте могут стать основой для формирования устойчивых комплексов и поиска признания во внешней среде.,узел,школа,,False,
4,Подростковый возраст (12-17 лет),"Психологические трудности, буллинг, уход в увлечения и спорт","В подростковом возрасте усилились депрессивные состояния, респондент ушёл в себя, начал активно заниматься спортом и единоборствами, чтобы научиться защищаться. Проявились девиантные формы поведения, агрессия, конфликты с законом.","Я на 17 кг похудел за 9 месяцев... первые драки начались, приводы в полицию... Началось формироваться, как говорят, девиантное поведение.","Агрессия, протест, внутренний конфликт","Самозащита, независимость, сила",Реакция на длительный буллинг и отсутствие поддержки в семье часто приводит к формированию девиантного поведения и поиску признания через силу и агрессию.,перелом,"школа, полиция",,False,
5,Старшие классы школы (16-18 лет),"Потеря интереса к учебе, первые обращения за психологической помощью","Респондент перестал интересоваться учебой, не строил планов на будущее, впервые обратился к психологу по телефону доверия, осознал наличие семейных проблем, но не смог их решить.","Я даже в 10-м классе к психологу обращался по телефону. Я звонил несколько месяцев каждую неделю, и мы обсуждали проблемы.","Растерянность, безысходность, поиск поддержки","Понимание, помощь, саморефлексия",Обращение к психологу в подростковом возрасте свидетельствует о высоком уровне саморефлексии и попытке самостоятельно справиться с внутренними конфликтами.,узел,"школа, телефон доверия",,False,
6,Переход к взрослой жизни (18-21 год),"Проблемы с наркотиками, криминал, реабилитация","После школы респондент столкнулся с тяжелой наркотической зависимостью, проблемами с полицией, социальной изоляцией. В конце концов обратился за помощью к семье, прошёл реабилитацию, начал посещать психолога и группы поддержки.","У меня были очень сильные проблемы, прям зависимость тяжелая уже сформировалась... Под конец 2020 года я обратился в помощь к семье... Потом я уже на реабилитацию уехал, в рехап.","Отчаяние, страх, надежда на перемены","Здоровье, поддержка, честность",Путь через зависимость и реабилитацию — типичный для молодежи из семей с внутренними конфликтами и недостатком поддержки. Важную роль играет обращение к семье и профессиональной помощи.,перелом,"реабилитационный центр, семья, полиция",,False,
7,"Молодость (21-24 года, настоящее время)","Восстановление, поиск себя, образование и работа","После реабилитации респондент восстановился в институте, сменил учебное заведение, начал работать, пробовал себя в бизнесе и продажах, продолжает искать себя и строить отношения с семьей и окружающими.","Сейчас продолжаю пробовать работу, меняю. Много чего на учебе пробовал, еще себя. Вот, и, ну, как бы вот сейчас вот в таком режиме, сейчас вот так же продолжаю искать себя, знакомиться с собой.","Неуверенность, надежда, усталость","Саморазвитие, независимость, принятие","Период поиска себя и профессиональной идентичности характерен для молодых людей, прошедших через кризисы. Важна поддержка семьи и возможность экспериментировать с разными ролями.",эпизод,"институт, рынок труда",,True,
8,Раннее детство (0-7 лет),"Любознательность, увлечения и мечты","В раннем детстве респондент был очень любознательным, увлекался природой, энциклопедиями, разводил пауков, любил быть наедине с собой и исследовать мир.","Я был любознательный ребенок, я увлекался до 7 лет природой, натуралистикой всякой. Читал книги про насекомых, про деревья, у меня куча энциклопедий было, я их все перечитал.","Интерес, радость, спокойствие","Исследование, познание, индивидуальность",Ранние увлечения и склонность к самостоятельному исследованию мира формируют у ребенка базу для дальнейшего саморазвития и поиска себя.,эпизод,"семья, детский сад",,False,
9,Школьные годы (7-17 лет),Отношения с учителями и учебная мотивация,"До 6-7 класса респондент был положительно воспринят учителями, но с началом девиантного поведения доверие снизилось. Учился на базовом уровне, без особого интереса к предметам.","До шестого класса, до седьмого очень положительно. Всех хорошо обманывали. Когда уже началось это поведение уличное... нам не доверяли.","Безразличие, легкая ирония, отчуждение","Уважение, независимость, честность",Снижение учебной мотивации и ухудшение отношений с учителями часто сопровождают подростковый кризис и поиск собственной идентичности.,узел,школа,,False,
10,Поступление в вуз (18 лет),Выбор образования под давлением семьи,"Поступление в вуз было неосознанным выбором, сделанным под давлением родителей и по примеру одноклассников. Отсутствие ответственности и самостоятельности в принятии решений.",Абсолютно не хотел. Я не хотел учиться. Это было под давлением родителей сделано.,"Безразличие, пассивность, внутренний протест","Семья, конформизм, избегание ответственности","Выбор образования по инерции и под давлением семьи — распространенная стратегия среди молодежи, не имеющей четких жизненных ориентиров.",декларация,вуз,,False,
1,Поступление в вуз и первые попытки профессионального самоопределения,Поиск подходящей образовательной траектории,"Респондент начал обучение на химико-технолога, но понял, что это не его направление. Затем сменил специальность на менеджмент, однако разочаровался в качестве образования и решил сосредоточиться на практическом опыте, параллельно оставаясь формально студентом.","Я понял, что я не буду тратить три года просто за партой учиться непонятно чему. И я с родителями пообщался, я сказал, что я пошел работать.","Разочарование, осознанность, решимость","Практичность, самостоятельность, ответственность","Респондент демонстрирует критическое отношение к формальному образованию и стремление к самостоятельному принятию решений, что характерно для современных молодых людей, ориентированных на практические навыки.",перелом,вуз (институт),,начало трудовой деятельности параллельно с учебой,
2,Начало трудовой деятельности,"Первые шаги в профессии, опыт работы в продажах","Респондент начал работать в сфере продаж, проходил стажировки, менял места работы каждые три месяца, осознал несоответствие своей личности требованиям профессии.","У меня тип личности вообще не про продажи. Я могу один раз пообщаться с человеком, донести до него мысль, продать ее, но если системно каждый день с людьми общаться регулярно, у меня не хватит сил.","Фрустрация, саморефлексия","Самопознание, честность с собой, развитие навыков","Опыт частой смены рабочих мест и осознание личностных ограничений типичны для молодых специалистов, ищущих свое место на рынке труда.",эпизод,,,"работа в продажах, стажировки",
3,Профессиональное становление,Развитие коммуникативных навыков и опыт конфликтов,"Респондент отмечает развитие коммуникативных навыков, отсутствие серьезных конфликтов с коллегами, но наличие сложностей в общении с клиентами.","Я достаточно такой в плане профессиональном. Сейчас, по крайней мере, я спокойный.","Спокойствие, уверенность","Профессионализм, самообладание",Навыки коммуникации и умение избегать конфликтов с коллегами важны для успешной адаптации на рынке труда.,декларация,,,,
4,"Молодость, первые отношения",Опыт личных отношений,"Респондент рассказывает о первых отношениях с девушкой, которые длились полгода, а также о недавних попытках завести новые отношения.",Я ей предложил отношения. Мы где-то полгодика встречались.,"Ностальгия, легкая грусть","Искренность, открытость к чувствам",Опыт первых отношений и их завершения — важный этап взросления и формирования эмоциональной зрелости.,эпизод,,,,
5,Рефлексия над детством и семейным влиянием,Влияние семьи и социальных установок на личность,"Респондент анализирует влияние семейных ценностей, травм и социальных стереотипов на свое самоощущение, отмечает травму отвержения и перфекционизм.","Самое сильное влияние оказалось семейное. Вот семейная система убеждений, ценностей, травм какие-то.","Грусть, саморефлексия, принятие","Рефлексия, стремление к самопониманию","Рассказ иллюстрирует, как семейные и социальные установки формируют самооценку и поведение, а также важность психологической работы для преодоления внутренних барьеров.",узел,,,,
6,Детство и подростковый возраст,Опыт буллинга и социальной изоляции,"Респондент вспоминает, как в детстве был изолирован из-за своей любознательности и отличия от других, что повлияло на его самооценку.","Грубым словом таких называют задроты. И во всех фильмах, во всех сериалах, Таких задротов над ними издеваются, все девочки их обходят стороной, и общество обходит стороной.","Обида, одиночество","Самоценность, стремление к принятию",Буллинг и социальная изоляция в детстве могут иметь долгосрочные последствия для формирования личности и самооценки.,эпизод,,,,
7,Детство,Переезд и утрата чувства стабильности,"В 7 лет респондент пережил переезд, который стал для него стрессом и привел к потере воспоминаний о том периоде.","Вот смотрите, в 7 лет это единственный период жизни и переезд в другой дом, который у меня выпал из памяти вообще.","Тревога, растерянность","Потребность в стабильности, безопасность","Переезд в детстве может быть травматичным событием, особенно при отсутствии поддержки и внутренней опоры.",эпизод,,0.0,,
8,Детство и подростковый возраст,Отсутствие внутренней опоры и зависимость от внешних обстоятельств,"До 13 лет респондент не имел внутренней опоры, его состояние полностью зависело от внешней среды. Позже пытался черпать силы из мечты стать спортсменом, но это оказалось ложной опорой.","До 13 лет у меня ее не было, внутренней опоры вообще никакой. Я зависел от внешней среды.","Уязвимость, разочарование","Поиск смысла, стремление к самостоятельности","Отсутствие внутренней опоры характерно для детей, выросших в условиях эмоциональной нестабильности и недостатка поддержки.",узел,,,,
9,Подростковый возраст,Первые попытки саморефлексии и обращение к психологу,"В 10 классе респондент впервые обратился к психологу и смог посмотреть на себя со стороны, до этого уходил в иллюзии при стрессе.","Я вот как только обратился к психологу, первый раз по телефону, я впервые на себя со стороны посмотрел.","Озарение, тревога","Самоанализ, стремление к изменениям",Обращение к психологу становится важным этапом в формировании зрелой личности и навыков саморефлексии.,перелом,,,,
10,Подростковый возраст,Ложь как способ эмоционального выживания,"Респондент рассказывает, что часто лгал семье, чтобы избежать негативных последствий и сохранить эмоциональное равновесие.","Я, по сути, привык лгать, чтобы эмоционально выжить. Не физически, а эмоционально.","Вина, оправданность","Самосохранение, адаптация","Ложь как защитная стратегия часто встречается у подростков, испытывающих давление и непонимание в семье.",эпизод,,,,
