id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,pets
1,Взрослая жизнь (настоящее время),"Текущее положение: возраст, семейное положение, жилье, учеба и работа","Респонденту 24 года, не женат, детей нет. Живет в Москве с семьей (родители, младший брат, старший сын). Учится в институте менеджмента, параллельно подрабатывает комплектовщиком и иногда занимается сборкой мебели. Недавно уволился с основной работы менеджером проекта мебели.","24 года мне, не жена, детей нет. Поживаю в Москве. Ну, я здесь вырос и живу, да, то есть живу с семьей. Родители, младший брат, старший сын, там все вместе.",нейтрально-деловой,"семья, образование, самостоятельность","Респондент находится на этапе ранней взрослости, сочетает учебу и работу, живет с родителями, что типично для молодых людей в крупных городах России. Отмечается нестабильность в трудовой занятости.",декларация,Институт менеджмента управления бизнес-процессами,0.0,"частичная (подработки, смена работ)",,
2,Детство (0-7 лет),"Раннее детство, переезд, семейная атмосфера","Родился в Армении, в возрасте одного года переехал с семьей в Москву. До 7 лет вспоминает детство как счастливое, без нужды, с хорошими отношениями в семье.","Я родился, получается, 19 мая 2000 года в городе Раздан в Армении... На возрасте одного года меня перевезли сюда, в Москву... до 7 лет очень классное детство было приятное веселое.","позитив, ностальгия","семья, безопасность, стабильность","Миграция из Армении в Россию в раннем возрасте, успешная адаптация, позитивный опыт раннего детства, что создает базу для дальнейших переживаний.",эпизод,"семья, детский сад",,,True,
3,Детство (7-11 лет),"Семейные конфликты, рождение брата, начало тревожности","В 7 лет родился младший брат, что совпало с усилением внутрисемейных конфликтов и переездом. Начались тревожные состояния, закрытость, проблемы в отношениях с матерью.",В возрасте 7 лет у меня родился брат родной... Внутрисемейные конфликты участились... Я стал какой-то закрытый.,"тревога, неуверенность","признание, любовь, безопасность",Рождение младшего ребенка и семейные конфликты часто становятся триггером для психологических изменений у старших детей. Формируется чувство недостатка внимания и признания.,перелом,семья,,,True,
4,Детство и подростковый возраст (7-15 лет),"Буллинг, проблемы с самооценкой, уход в увлечения","Испытывал буллинг со стороны сверстников, что усилило чувство отверженности. Уходил в увлечения (военное дело, спорт, прогулки), но не ощущал признания ни в семье, ни в обществе.","Я был толстенький, не мог защищаться... Я ушел очень сильно в себя, очень придавливал эмоции... Если я в семье не получил признания, то я хотел это воспроизвести в обществе. И в обществе я этого не получал.","боль, одиночество","признание, дружба, самореализация",Буллинг и недостаток поддержки в семье приводят к формированию устойчивых комплексов и уходу в индивидуальные интересы. Типичная стратегия копинг-механизмов у подростков.,узел,,,,True,
5,Подростковый возраст (12-17 лет),"Преодоление буллинга, спорт, девиантное поведение","Решил похудеть и заняться спортом, чтобы научиться защищаться. Начались драки, приводы в полицию, формирование девиантного поведения. Параллельно ухудшились отношения с родителями, уход в уличную среду.","Я потом в шестом классе принял решение худеть. Я на 17 кг похудел за 9 месяцев... первые драки начались, приводы в полицию... Началось формироваться, как говорят, девиантное поведение.","агрессия, протест","самозащита, независимость, сила",Переход от жертвы буллинга к активному сопротивлению часто сопровождается девиантным поведением. Влияние уличной среды и недостаток родительского контроля.,перелом,,,,True,
6,Подростковый возраст (15-17 лет),"Эксперименты, потеря интереса к учебе, поиск признания","Начал употреблять алкоголь, потерял интерес к учебе, не строил планов на будущее. Обращался к психологу по телефону доверия, осознавал проблемы в семье.","В 8 классе уже алкоголь начался, первые эксперименты... Я не мог брать на себя ответственность... Я даже в 10-м классе к психологу обращался по телефону.","апатия, растерянность","поиск смысла, поддержка, признание",Потеря интереса к учебе и отсутствие жизненных планов характерны для подростков с неблагоприятным семейным фоном. Обращение за психологической помощью — признак внутренней рефлексии.,узел,,,,True,
7,Юность (17-21 год),"Первые отношения, армия, формирование зависимостей","В 11 классе появились первые отношения, после армии начались серьезные проблемы с наркотиками, асоциальное поведение, проблемы с полицией. Обратился за помощью к семье, начал терапию, но были рецидивы.","У меня уже 19 лет было, я вернулся с армии и весь 2020 год я очень плотно на наркотиках сидел... Проблемы с полицией, задержания... Под конец 2020 года я обратился в помощь к семье.","отчаяние, страх, надежда","поддержка, семья, здоровье",Проблемы с зависимостями и криминализация поведения — частый сценарий для молодежи с травматичным опытом. Важную роль играет семья как последний ресурс поддержки.,перелом,,,,True,
8,Молодость (21-24 года),"Реабилитация, восстановление, поиск себя","Прошел реабилитацию, активно занимался терапией, восстановился в институте, начал работать, пробовал себя в бизнесе и продажах. Отношения с семьей улучшились, но продолжается поиск себя и периодические кризисы.","Я в терапии там активно посещал психолога, группы... восстановился в институте, в другой перешел, сейчас в нем, да, обучаюсь... Сейчас продолжаю пробовать работу, меняю. Много чего на учебе пробовал, еще себя.","надежда, неуверенность, усталость","саморазвитие, семья, устойчивость","Реабилитация и возвращение к социальной активности — важный этап взросления. Характерен для молодых людей, прошедших через кризисы и ищущих новые смыслы.",узел,,,,True,
9,Раннее детство (0-7 лет),Отношения с родителями и близкими,"До 7 лет были хорошие отношения с мамой, папой, бабушкой и сестрой. Чувствовал себя любимым и послушным ребенком. После рождения брата появились страхи и ревность.",С мамой я как маму воспринимал... Любил её очень. С отцом тоже... С бабушкой тоже очень хорошие отношения были. Я был очень любимым ребенком.,"любовь, безопасность, ревность","семья, любовь, уважение",Типичная для старших детей реакция на появление младших братьев/сестер — ревность и страх потери внимания. До этого — позитивный опыт семейного взаимодействия.,эпизод,,,,True,
10,Детство (5-7 лет),Буллинг и наказания,"Первый опыт буллинга в 5-6 лет, а также физические наказания в семье. Эти события оказали длительное негативное влияние на психику и самооценку.","Буллинг сильно повлиял. У меня первый буллинг лет 5-6 был... У нас просто нас в строе били, получается, за ошибки какие-то, за плохое поведение.","страх, обида","безопасность, справедливость",Ранний опыт насилия и буллинга формирует уязвимость к стрессу и снижает доверие к окружающим. Воспитание через физические наказания — распространенная практика в некоторых семьях.,эпизод,,,,True,
